state,county,white,black,hispanic,asian,native,evac
FL,franklin county,1,0,0,0,0,1
FL,gulf county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,monroe county,0,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,bay county,0,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,gulf county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,1
FL,santa rosa county,0,0,1,0,0,0
FL,walton county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,1
FL,bay county,0,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,1
FL,santa rosa county,0,0,0,0,1,1
FL,gulf county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,1
FL,walton county,1,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,santa rosa county,0,0,0,0,0,1
FL,bay county,0,0,0,0,0,0
FL,escambia county,0,1,0,0,0,0
FL,walton county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,1
FL,gulf county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,1
FL,santa rosa county,0,0,0,0,1,0
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,0,0,0,0,1,0
FL,walton county,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,walton county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,bay county,0,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,escambia county,0,1,0,0,0,1
FL,santa rosa county,1,0,0,0,0,1
FL,walton county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,walton county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,okaloosa county,0,1,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,1
FL,walton county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,1
FL,walton county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,okaloosa county,0,1,0,0,0,1
FL,franklin county,0,1,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,bay county,0,0,0,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,bay county,0,0,0,0,1,0
FL,escambia county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,santa rosa county,0,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,okaloosa county,0,0,1,0,0,0
FL,walton county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,1
FL,walton county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,escambia county,0,1,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,0,0,1,0,0,0
FL,bay county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,inland counties,0,1,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,escambia county,0,1,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,inland counties,0,1,0,0,0,0
FL,bay county,0,1,0,0,0,0
FL,escambia county,0,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,bay county,0,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,1
FL,gulf county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,bay county,0,0,0,0,1,0
FL,escambia county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,monroe county,0,0,1,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,gulf county,0,1,0,0,0,0
FL,bay county,0,1,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,inland counties,0,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,escambia county,0,1,0,0,0,1
FL,gulf county,1,0,0,0,0,0
FL,okaloosa county,0,0,0,0,0,1
FL,okaloosa county,0,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,gulf county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,1
FL,gulf county,1,0,0,0,0,1
FL,gulf county,1,0,0,0,0,0
FL,santa rosa county,0,0,0,0,0,1
FL,escambia county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,escambia county,0,0,0,0,1,0
FL,gulf county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,inland counties,0,1,0,0,0,0
FL,franklin county,0,1,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,bay county,0,0,0,0,1,1
FL,santa rosa county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,monroe county,0,0,0,0,0,1
FL,escambia county,0,1,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,bay county,0,1,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,escambia county,0,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,bay county,0,0,0,0,0,0
FL,gulf county,1,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,bay county,0,1,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,0
FL,okaloosa county,0,0,1,0,0,0
FL,walton county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,santa rosa county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,walton county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,escambia county,0,0,0,0,0,0
FL,franklin county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,1
FL,escambia county,0,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,bay county,0,1,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,okaloosa county,0,0,0,1,0,0
FL,bay county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,walton county,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,0
FL,inland counties,0,0,0,1,0,0
FL,walton county,1,0,0,0,0,1
FL,escambia county,0,1,0,0,0,0
FL,inland counties,1,0,0,0,0,1
FL,okaloosa county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,1
FL,inland counties,0,0,1,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,1
FL,monroe county,0,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,0,1,0,0,0,0
FL,franklin county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,0,0,1,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,monroe county,0,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,bay county,0,1,0,0,0,0
FL,okaloosa county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,escambia county,0,1,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,0
FL,bay county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,bay county,0,0,0,0,0,0
FL,escambia county,0,1,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,bay county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,inland counties,0,1,0,0,0,0
FL,monroe county,0,0,1,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,walton county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,inland counties,0,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,monroe county,0,0,0,1,0,1
FL,monroe county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,monroe county,0,0,0,0,0,0
FL,santa rosa county,0,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,inland counties,0,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,monroe county,0,0,1,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,escambia county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,escambia county,0,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,walton county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,santa rosa county,1,0,0,0,0,0
FL,monroe county,0,0,0,0,0,1
FL,inland counties,0,0,0,0,1,0
FL,escambia county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,franklin county,1,0,0,0,0,0
FL,inland counties,1,0,0,0,0,1
FL,monroe county,1,0,0,0,0,1
FL,inland counties,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,0
FL,gulf county,1,0,0,0,0,0
FL,monroe county,1,0,0,0,0,1
FL,escambia county,1,0,0,0,0,0
FL,franklin county,1,0,0,0,0,0
FL,okaloosa county,1,0,0,0,0,1
FL,bay county,0,1,0,0,0,0
