index,no_01,no_02,no_03,no_other,no_other_code
1,30,,,,
2,29,,,WE FELT IT WAS NOT NECESSARY,30
3,5,,,,
5,28,,,,
8,29,,,THIS IS MY HOME,0
10,29,,,MEDIA WAS FALSE,0
11,4,,,,
14,1,,,,
15,29,,,WE HAVE SHELTERS NEAR BY,0
18,29,,,DIDN'T WANT TO,0
19,6,,,,
20,1,2,,,
24,29,,,DIDN'T WANT TO GO,0
25,30,,,,
26,5,,,,
28,29,,,LIVE FURTHER INLAND.,34
29,7,,,,
30,14,,,,
31,1,,,,
32,10,,,,
33,6,,,,
34,30,,,,
36,6,,,,
38,25,,,,
39,6,,,,
40,1,,,,
41,29,,,I DID NOT WORRY ABOUT IT,30
43,6,,,,
44,5,,,,
45,6,,,,
46,15,,,,
47,1,,,,
48,19,,,,
49,6,,,,
50,26,14,,,
52,24,,,,
53,24,,,,
54,12,,,,
55,24,,,,
56,17,2,6,,
57,6,,,,
59,1,,,,
60,6,,,,
64,29,,,FIRST HURRICANE AND WANTED TO STAY HOME,0
65,6,,,,
66,4,,,,
69,16,,,,
70,29,,,WANTED TO STAY HOME,0
71,29,,,UNDER MEDICATION,28
72,17,,,,
73,17,,,,
74,18,,,,
75,12,,,,
76,5,,,,
78,21,18,,,
79,29,,,THOUGHT THEY WERE READY,0
81,7,6,,,
82,4,,,,
84,17,,,,
85,16,,,,
91,1,,,,
92,18,,,,
94,29,,,BECAUSE I'VE ALWAYS STAYED; IF IT'S GONNA GET YA UT'S GONNA GET YA,"33,31"
95,6,7,5,,
97,6,,,,
98,12,,,,
99,8,,,,
100,6,,,,
101,5,24,,,
102,18,,,,
103,6,24,29,HAD FRIENDS OVER,0
104,29,,,I JUST FELT I DIDNT NEED TO,30
107,1,,,,
108,19,,,,
109,6,,,,
110,1,,,,
112,14,,,,
113,29,,,DONT LIVE NEAR WATER,34
114,4,,,,
116,6,,,,
117,19,,,,
119,6,,,,
120,28,,,,
121,29,,,I JUST CHOSE TO STAYHOME,0
122,11,,,,
125,6,,,,
126,1,,,,
129,15,,,,
131,24,6,,,
132,6,26,,,
133,4,1,,,
134,13,,,,
135,17,,,,
136,21,1,,,
137,16,,,,
138,5,,,,
140,24,,,,
142,18,,,,
143,7,12,,,
144,7,,,,
145,29,,,"HAS STAYED IN AREA B4, DECIDED TO STAY ONE MORE TIME",33
146,17,,,,
147,12,,,,
148,1,,,,
149,12,,,,
150,1,,,,
152,6,,,,
153,4,,,,
154,30,,,,
155,29,,,PERSONAL DECISION,0
156,6,,,,
157,17,,,,
164,4,,,,
165,29,,,DID NOT FEEL LIKE I NEEDED TO.,30
166,29,,,STAYING WITH THREE HOUSES,16
168,6,,,,
170,4,14,6,,
172,7,,,,
173,4,,,,
174,29,,,PERSONAL,0
177,6,,,,
178,16,,,,
180,6,18,,,
181,21,3,,,
183,17,,,,
184,29,,,"FAMILY STAYED DURING PREV STORMS, DECIDED TO STAY ALSO",33
185,25,,,,
188,6,,,,
189,28,,,,
191,1,,,,
194,3,,,,
196,6,,,,
198,19,,,,
199,29,,,WAS NOT AUTHORIZED TO,0
203,10,12,,,
204,21,,,,
206,14,,,,
207,1,,,,
210,6,,,,
212,1,,,,
213,7,,,,
214,6,,,,
216,6,,,,
217,12,13,,,
218,6,,,,
220,6,,,,
221,28,,,,
222,30,,,,
224,13,,,,
227,1,13,,,
228,29,,,HAD TO STAY IN TOWN,0
229,12,5,,,
230,21,,,,
231,19,,,,
233,4,,,,
234,6,,,,
235,27,,,,
236,29,,,JUST DIDNT FEEL IT WAS NECESARY,30
238,28,,,,
240,4,,,,
242,6,,,,
244,6,,,,
245,4,,,,
246,13,,,,
247,6,,,,
248,29,,,WE JUST DON'T EVACUATE,33
249,6,,,,
250,6,,,,
251,21,,,,
253,14,,,,
254,6,,,,
255,21,,,,
258,1,,,,
260,29,,,GOD-ALMIGHTY LOOKS AFTER ME.,31
263,4,,,,
264,4,,,,
265,6,,,,
266,21,,,,
267,23,,,,
268,17,,,,
269,30,,,,
270,1,,,,
271,10,4,,,
272,6,,,,
274,18,,,,
275,4,,,,
277,13,,,,
278,6,,,,
281,24,,,,
282,6,,,,
284,18,,,,
286,4,,,,
287,6,,,,
288,6,,,,
290,24,,,,
291,24,,,,
293,24,,,,
296,7,,,,
297,13,,,,
298,16,,,,
299,1,,,,
300,6,,,,
301,17,,,,
305,6,,,,
307,1,,,,
308,6,,,,
309,17,,,,
311,4,,,,
312,6,17,,,
313,4,1,,,
315,14,,,,
316,4,,,,
317,24,6,,,
319,15,12,24,,
321,6,,,,
322,30,,,,
323,1,,,,
324,29,,,PERSONAL PREFERENCE,0
328,6,,,,
330,16,12,,,
331,6,24,,,
332,29,,,WE WERE FOOLS,0
337,14,,,,
338,4,,,,
339,6,,,,
340,6,,,,
342,15,,,,
343,6,,,,
344,4,,,,
345,6,,,PREDICTIONS,0
348,6,,,,
351,13,,,,
352,6,,,,
354,1,,,,
355,6,,,,
356,15,16,,,
357,14,,,,
358,6,,,,
359,1,,,,
361,26,6,,,
362,4,,,,
364,14,,,,
365,6,,,,
366,1,,,,
367,6,,,,
369,4,,,,
370,29,,,GODS WITH US,31
373,24,,,,
374,14,,,,
375,14,,,,
376,6,,,,
377,6,,,,
378,6,,,,
379,21,,,,
380,6,,,,
381,6,18,22,,
382,4,,,,
383,1,,,,
385,28,,,,
386,14,,,,
387,2,5,6,,
389,30,,,,
390,6,,,,
391,16,,,,
392,6,,,,
393,6,,,,
395,18,,,,
396,18,,,,
397,29,,,"I GREW UP IN SOUTH FLORIDA, NOTHING SCARES ME",33
398,30,,,,
400,4,,,STRENGHT OF STORM,4
401,18,,,,
404,1,,,,
406,1,,,,
408,4,,,,
409,25,,,,
410,6,,,,
411,6,,,,
413,22,,,,
414,7,,,,
416,16,,,,
417,24,,,,
419,4,,,,
420,26,,,,
421,29,,,WATCHING THE REAL TIME WEATHER,0
422,24,4,,,
423,7,,,,
424,6,,,,
425,24,,,,
426,2,,,,
427,4,,,,
428,5,,,,
431,6,,,,
436,7,,,,
437,16,,,,
440,6,,,,
445,6,,,,
446,1,,,,
447,3,,,,
448,4,,,,
449,6,,,,
450,3,,,,
451,18,,,,
452,13,,,,
453,12,,,,
454,29,,,WE STAYED BECAUSE WE OUR NIEGHBORS HAD STAYED.,33
455,14,,,,
456,24,28,,,
458,6,,,,
460,16,,,,
462,18,12,21,,
463,7,,,,
464,17,,,,
465,4,,,,
466,19,,,,
467,1,,,,
470,6,28,,,
472,11,,,,
474,18,,,,
476,6,,,,
478,17,,,,
479,6,,,,
480,6,,,,
483,6,,,,
485,6,,,,
486,27,,,,
488,6,7,,,
489,1,,,,
490,6,,,,
492,1,,,,
493,1,,,,
494,13,,,,
495,24,,,,
497,11,19,,,
498,2,,,,
499,6,,,,
500,14,,,,
501,29,,,,
503,6,,,,
504,15,,,,
505,1,,,,
508,1,,,,
509,16,,,,
511,6,,,,
513,1,,,,
515,6,,,,
516,1,,,,
517,6,,,,
518,5,,,,
520,8,1,,,
522,6,14,,,
523,21,,,,
524,4,,,,
528,12,,,,
529,6,,,,
532,18,,,,
533,4,,,,
535,6,5,,,
537,6,,,,
538,5,,,,
539,6,,,,
540,6,,,,
541,15,24,,,
542,6,,,,
543,22,,,,
544,6,14,,,
546,21,6,,,
547,27,,,,
548,16,,,,
549,21,,,,
551,6,,,,
552,1,,,,
553,6,,,,
554,30,,,,
555,6,,,,
556,24,,,,
557,1,,,,
558,30,,,,
559,12,,,,
561,4,,,,
563,18,,,,
564,23,,,,
565,1,,,,
566,16,,,,
567,6,,,,
570,24,27,,,
573,6,,,,
575,18,,,,
576,25,,,,
577,6,,,,
578,1,,,,
579,16,,,,
582,4,,,,
583,6,,,,
584,18,,,,
585,12,,,,
586,18,,,,
588,6,13,,,
589,6,,,,
591,16,,,,
592,13,,,,
593,19,,,,
594,1,,,,
595,30,,,,
596,6,,,,
603,6,,,,
604,22,,,,
605,7,,,,
607,6,,,,
608,29,,,CANT HIDE FROM GOD,31
610,6,,,,
611,6,,,,
613,13,,,,
614,6,7,,,
615,29,,,"WE HAVE A LOT, WE'VE NEVER LEFT","16,33"
617,14,5,6,,
619,30,,,,
620,1,,,,
621,6,,,,
622,4,,,,
624,30,,,,
627,12,,,,
629,6,,,,
630,30,,,,
633,14,,,,
635,1,,,,
636,14,,,,
638,5,4,,,
639,6,,,,
640,1,,,,
641,6,,,,
642,6,,,,
643,29,,,WE JUST DECIDED THAT WE WANTED TO STAY IN OUR HOME.,0
644,13,,,,
645,6,,,,
646,6,,,,
647,4,,,,
648,30,,,,
651,20,,,,
652,29,,,DIDNT FEEL LIKE IF IT WAS NECESSARY,30
653,18,,,,
654,30,,,,
657,6,,,,
658,30,,,,
660,6,,,,
661,4,,,,
662,5,,,,
663,6,,,,
665,6,29,,WE ARE INLAND,34
666,4,,,,
668,5,,,,
669,9,,,,
670,30,,,,
671,30,,,,
672,24,,,,
673,6,,,,
674,29,,,DIDN'T FEEL THE NEED TO EVACUATE,30
675,18,,,,
676,6,,,,
677,29,,,I JUST BELIEVED THE LORD WILL PROTECT ME,31
678,6,,,,
679,18,,,,
680,29,,,WARNING WAS TOO EARLY,0
682,24,,,,
683,29,,,I DIDNT THE NEED TO EVACUATE,30
684,29,,,ENJOYS HURRICANES,0
685,4,,,,
687,24,,,,
688,23,,,,
689,4,,,,
690,29,,,MY WIFE DIDN'T WANNA GO,32
692,29,,,I WAS GOING TO STAY WITH WHAT I HAD,16
693,6,,,,
695,18,,,,
696,6,,,,
697,23,,,,
699,29,,,HAD SEVERAL BOATS THAT NEEDED TO BE TAKEN CARE OF,16
701,6,,,,
702,29,,,JUST WANTED TO STAY HOME,0
703,18,,,,
704,29,1,,WAS CONFUSED ABOUT EVACUATION,0
705,14,,,,
707,6,,,,
708,6,,,,
709,6,29,,TREES PROTECT IT FROM WIND,0
712,6,,,,
713,6,24,,,
714,6,,,,
715,24,6,,,
716,5,,,,
717,6,,,,
718,29,,,I HAVE NEVER GONE ANYWHERE BEFORE; I HAVE SAT THEM ALL OUT.,33
719,6,7,,,
720,9,3,,,
721,29,,,WE JUST DIDN'T,0
722,13,,,,
723,6,,,,
724,6,,,,
725,30,,,,
726,6,12,,,
727,6,,,,
728,29,,,DECIDED TO JUST STAY HOME,0
729,6,,,,
730,6,,,,
731,30,,,,
732,4,,,,
733,6,7,,,
735,29,,,WE LIVE INLAND,34
737,6,7,,,
740,6,,,,
741,29,,,NOT ON THE COAST,34
742,16,,,,
743,4,,,,
744,29,,,DIDN'T THINK IT WAS NESESARY,30
746,1,,,,
747,11,,,,
750,6,,,,
751,6,,,,
752,18,,,,
753,6,,,,
755,28,,,,
757,6,,,,
760,18,,,,
761,6,,,,
762,28,,,,
763,30,,,,
764,29,,,DIDNT WANT TO GO,0
766,6,17,,,
767,29,,,NOT AFRAID OF STORMS,0
768,4,,,,
769,5,,,,
770,6,24,,,
771,29,14,,CANT RUN FROM IT,0
772,6,1,,,
774,1,,,,
776,29,,,NEVER DO I RATHER JUST STAY HOME FOR ANYTHING,33
777,2,,,,
779,29,,,DID NOT HAVE TO LEAVE,30
780,6,,,,
781,14,,,,
784,6,,,,
787,6,,,,
789,12,11,,,
790,14,,,,
791,6,,,,
792,6,,,,
796,6,7,,,
797,13,,,,
800,6,,,,
801,21,,,,
802,6,,,,
803,6,,,,
804,29,,,I FELT SAFE I WAS INLAND,34
807,6,,,,
809,4,,,,
810,6,,,,
811,4,,,,
812,6,,,,
813,23,29,,TOO FAR FROM SHELTER,
814,7,,,,
815,6,,,,
816,10,,,,
819,4,,,,
820,5,,,,
821,7,6,,,
824,29,,,HUSBAND DIDN'T WANT TO,32
827,6,,,,
829,6,4,,,
831,1,,,,
832,29,,,I WORK DISASTER SERVICES I HAD DUTIES TO PERFORM AFTER THE STORM.,18
833,26,,,,
834,6,17,,,
836,4,,,,
837,4,19,,,
838,3,,,,
840,4,,,,
841,1,,,,
842,6,,,,
844,6,,,,
845,4,,,,
846,6,,,,
847,6,,,,
848,5,4,,,
850,30,,,,
852,6,,,,
853,6,,,,
854,4,,,,
855,4,,,,
856,6,,,,
857,4,12,,,
858,6,,,,
860,29,,,ONE STORY HOUSE VERY MUCH INLAND,34
861,6,,,,
862,4,,,,
863,2,,,,
864,10,,,,
865,22,,,,
866,4,,,,
868,24,29,,CAR BROKE DOWN,27
869,1,,,,
870,4,,,,
872,6,,,,
873,6,,,,
877,29,,,AT A FUNERAL AND IT WAS TOO LATE TO LEAVE,19
878,21,22,23,,
879,4,,,,
881,4,,,,
882,6,12,5,,
883,22,23,6,,
885,5,,,,
886,21,25,,,
887,6,,,,
888,6,,,,
889,6,12,,,
891,4,6,,,
893,6,,,,
894,6,4,,,
895,6,,,,
896,6,4,,,
898,4,12,,,
899,29,,,NEVER GOT TOO CLOSE TO HOME,0
900,29,,,MY MOTHER IN LAW DID NOT WANT TO LEAVE,32
902,29,,,I HAVE NEVER LEFT,33
905,4,,,,
907,6,,,,
908,4,,,,
910,21,,,,
911,4,,,,
914,4,,,,
915,4,,,,
917,30,,,,
919,4,6,,,
920,4,,,,
921,19,,,,
922,24,21,,,
923,6,,,,
927,15,,,,
932,8,,,,
933,29,,,JUST FELT I WAS SAFE I WORK FOR NOVA,18
937,12,,,,
938,5,6,7,,
939,1,,,,
940,4,,,,
941,18,,,,
942,21,,,,
943,6,,,,
944,1,,,,
947,24,,,,
948,21,,,,
949,12,,,,
952,6,,,,
955,4,,,,
956,29,,,NEVER LEAVES ISLAND BECAUSE OF HURICANE,33
958,12,,,,
959,24,,,,
960,29,,,"NOTHING, JUST STAYED HERE",0
961,5,,,,
963,6,,,,
964,29,,,I HAVE ALWAYS STAYED.,33
967,13,,,,
970,18,,,,
971,1,,,,
972,13,,,,
973,6,1,,,
974,12,,,,
975,29,,,"I WAS WELL INLAND AND FELT SAFE,",34
977,30,,,,
980,6,5,,,
981,6,,,,
982,1,,,,
983,6,,,,
987,6,1,,,
988,29,,,JUST DIDN'T LEAVE,0
990,12,,,,
991,21,23,4,,
993,4,6,,,
994,1,24,,,
995,14,,,,
996,20,,,,
997,1,,,,
998,6,4,,,
999,16,,,,
1000,1,,,,
1001,24,,,,
1002,18,,,,
1004,6,1,,,
1005,30,,,,
1006,6,,,,
1008,6,,,,
1011,29,,,AREA IS IN A PROTECTED PLACE,0
1013,8,,,,
1015,30,,,,
1016,19,,,,
1017,29,,,I WORK HERE,18
1018,5,,,,
1019,6,,,,
1020,1,6,,,
1021,13,,,,
1022,14,,,,
1025,6,,,,
1026,12,,,,
1028,6,,,,
1031,5,,,,
1032,30,,,,
1033,5,11,,,
1034,10,13,,,
1035,6,,,,
1036,1,,,,
1039,14,,,,
1040,1,,,,
1041,1,,,,
1044,6,,,,
1045,6,,,,
1047,24,,,,
1051,1,,,,
1052,1,29,,HARD TO GET OUT,0
1053,29,,,BECAUSE WE NEVER LEAVE.,33
1054,1,,,,
1055,6,29,,PREFERS TO STAY AT HOME WITH HUSBAND WITH STROKE,28
1057,1,13,,,
1058,16,,,,
1059,16,,,,
1060,29,,,BECAUSE WE ALWAYS STAY.,33
1062,6,,,,
1063,6,,,,
1064,6,,,,
1065,1,9,,,
1066,30,,,,
1067,7,,,,
1068,1,,,,
1069,3,6,7,,
1070,6,,,,
1073,24,,,,
1074,30,,,,
1075,30,,,,
1076,1,,,,
1077,29,,,WASN'T SCARED,0
1081,17,,,,
1082,6,,,,
1084,29,,,HUSBAND HAD OPEN HEART SURGERY AND SHE IS DEPUTY,28
1086,29,,,I WAS DUE IN THE HOSPITAL THE NEXT MORNING.,18
1087,6,,,,
1089,30,,,,
1092,6,13,,,
1093,1,2,,,
1094,9,,,,
1095,18,,,,
1096,3,,,,
1097,21,,,,
1098,14,24,,,
1100,7,,,,
1101,2,,,,
1103,29,,,JUST DECIDED NOT TO LEAVE,0
1104,4,,,,
1106,7,,,,
1107,9,6,,,
1108,1,,,,
1109,4,,,,
1110,1,,,,
1111,1,8,5,,
1112,6,,,,
1113,6,,,,
1114,6,12,,,
1115,6,5,1,,
1116,4,,,,
1119,2,1,,,
1120,4,,,,
1121,16,,,,
1123,21,,,,
1124,1,,,,
1125,29,,,I ALWAYS STAY HERE FOR ANY STORM,33
1126,28,,,,
1127,1,,,,
1129,5,,,,
1130,6,7,,,
1131,30,,,,
1132,29,,,DID NOT WANT TO LEAVE,0
1134,18,,,,
1137,6,,,,
1138,6,,,,
1139,9,,,,
1140,7,,,,
1142,1,8,20,,
1147,6,,,,
1149,29,1,,BECAUSE OF JOB STAYED,18
1150,6,29,,DIDN'T HAVE ANY PROBLEMS IN PAST,33
1151,4,,,,
1154,29,,,FELT NO NEED,30
1156,6,,,,
1157,3,4,25,,
1158,29,,,I UNDERESTIMATED IT,4
1159,6,,,,
1160,5,,,,
1162,6,,,,
1163,5,1,,,
1165,16,14,,,
1166,15,,,,
1167,6,,,,
1169,22,,,,
1170,29,,,I WAS ORDERED TO WORK,18
1171,7,,,,
1172,4,,,,
1173,6,,,,
1175,1,,,,
1177,21,24,,,
1178,18,,,,
1179,6,,,,
1181,1,,,,
1182,20,24,,,
1183,12,,,,
1184,24,,,,
1188,1,,,,
1189,18,,,,
1190,24,,,,
1191,4,,,,
1192,6,,,,
1193,16,,,,
1194,5,,,,
1196,1,6,,,
1197,1,,,,
1198,1,,,,
1201,28,,,,
1202,1,,,,
1203,7,,,,
1204,29,,,I DIDN'T FEEL IT WAS NECESSARY,30
1206,6,,,,
1207,21,,,,
1208,19,,,,
1209,1,,,,
1210,1,,,,
1211,15,16,,,
1213,18,,,,
1214,21,,,,
1215,4,,,,
1218,4,6,,,
1221,1,,,,
1222,4,3,,,
1224,5,,,,
1225,30,,,,
1229,29,,,UNDERESTIMATED ITS FORCE,4
1230,8,,,,
1231,6,,,,
1232,1,,,,
1233,12,4,,,
1235,1,,,,
1237,2,,,,
1238,5,,,,
1239,29,,,ORDERED TO STAY IN PLACE,0
1240,6,,,,
1241,21,,,,
1243,6,,,,
1244,30,,,,
1245,1,6,,,
1246,7,,,,
1248,14,,,,
1249,1,,,,
1250,4,,,,
1251,7,,,,
1252,6,,,,
1253,14,,,,
1255,4,,,,
1257,21,,,,
1258,6,,,,
1259,1,,,,
1260,29,,,WORK FOR GULF COAST ELECTRIC I KNEW THEY WERE GOING TO CALL ME TO GO TO WRK,18
1262,23,14,,,
1265,17,,,,
1266,29,,,I THOUGHT EVERYTHING WOULD BE OKAY,0
1268,6,,,,
1269,14,21,28,,
1270,17,,,,
1273,6,,,,
1274,6,7,,,
1275,6,,,,
1276,4,,,,33
1277,29,,,BEEN THROUGH THEM BEFORE,
1279,28,,,,
1280,18,,,,
1281,4,,,,
1282,24,,,,
1283,13,,,,
1284,6,,,,
1286,4,,,,
1287,6,,,,
1288,7,6,,,
1290,29,,,FATHER DID NOT WANT TO LEAVE,32
1294,4,,,,
1296,7,,,,
1297,8,,,,
1298,6,,,,
1299,18,,,,
1300,30,,,,
1301,6,,,,
1302,6,,,,
1303,29,,,I DIDNT WANT TO LEAVE BECAUSE I DIDN'T WANT TO LEAVE MY THINGS,16
1305,5,,,,
1306,4,,,,
1307,28,,,,
1308,24,,,,
1309,6,,,,
1310,13,,,,
1311,1,,,,
1312,30,,,,
1313,28,,,,
1314,4,,,,
1315,5,,,,
1316,13,,,,
1318,24,,,,
1322,4,,,,
1323,1,2,,,
1324,18,,,,
1325,6,14,,,
1326,29,,,"HAS BEEN THRU STORMS B4, LIVED PRETTY FAR FROM WHERE IVAN HIT","33, 1"
1328,6,,,,
1330,6,,,,
1335,4,,,,
1337,29,,,WORK,18
1341,18,,,,
1343,4,,,,
1344,4,1,,,
1346,29,,,CHOSE TO STAY,0
1350,4,29,,DON'T LIVE NEAR WATER,34
1351,4,,,,
1352,29,,,DIDNT WANT TO,0
1354,29,,,NO MONEY,35
1355,21,,,,
1358,30,,,,
1359,2,29,,HAD TO WORK,18
1360,29,,,WE'RE CORAGEOUS PEOPLE,0
1364,29,,,NO MONEY,35
1369,24,,,,
1370,6,,,,
1371,6,,,,
1372,30,,,,
1377,4,,,,
1378,2,29,,BECAUSE JOB REQUIRED SHE BE THERE RIGHT AFTER STORM,18
1380,29,,,WENT THROUGH PAST HURICANES,33
1381,6,4,,,
1382,6,,,,
1383,6,,,,
1385,11,,,,
1386,9,,,,
1388,1,24,,,
1392,29,,,SHELTER IN AREA WAS INADEQUATE,0
1393,5,24,,,
1395,6,,,,
1399,6,,,,
1403,6,,,,
1404,13,,,,
1405,21,28,,,
1407,6,,,,
1408,7,,,,
1412,30,,,,
1413,6,,,,
1415,28,,,,
1422,4,,,,
1423,27,,,,
1425,6,,,,
1427,18,,,,
1429,7,,,,
1430,4,,,,
1432,6,,,,
1433,29,,,I DECIDED I WOULD TAKE MY CHANCES,0
1434,6,,,,
1435,7,6,,,
1436,21,,,,
1437,30,,,,
1439,29,,,MY JOB FORCED ME TO STAY ON DUTY,18
