index,no_01,no_02,no_03,no_other,no_other_code
1440,21,,,,
1446,6,,,,
1448,18,,,,
1451,6,,,,
1454,29,,,DONT LIVE NEAR WATER,34
1458,19,,,,
1459,6,7,,,
1462,4,11,,,
1464,18,,,,
1465,4,,,,
1466,16,,,,
1472,5,,,,
1474,29,,,MOTHER WAS VISITING DID NOT WANT TO LEAVE,32
1475,2,14,,,
1476,1,21,,,
1477,6,,,,
1478,6,24,,,
1479,1,,,,
1480,4,,,,
1482,18,,,,
1483,28,,,,
1485,18,,,,
1489,1,,,,
1494,21,,,,
1497,29,,,CONCERNED FOR HOUSES HE OWNED,16
1499,21,,,,
1500,12,,,,
1501,19,22,21,,
1502,21,29,,I LIVE IN A PLACE WHERE IT DOESN'T FLOOD,7
1504,4,,,,
1507,4,12,,,
1508,15,16,,,
1511,17,,,,
1513,6,,,,
1515,29,,,"LIVED THERE ALL HER LIFE,NO REASON TO GO ANYWHERE",33
1516,14,,,,
1517,1,,,,
1518,21,,,,
1519,17,15,,,
1520,1,,,,
1522,18,,,,
1523,1,,,,
1527,7,6,,,
1528,1,2,4,,
1532,21,6,,,
1535,21,1,,,
1536,30,,,,
1537,4,6,,,
1544,6,,,,
1547,27,29,,ALL THE FINANCIAL BURDEN THAT PUTS ON YOU.,35
1549,4,,,,
1550,14,,,,
1554,24,,,,
1559,29,,,FEEL SAFE HERE,6
1561,21,29,,HAD TO WORK,18
1562,10,12,,,
1566,5,12,7,,
1568,27,14,,,
1569,6,,,,
1570,22,,,,
1571,7,,,,
1578,6,,,,
1583,6,,,,
1584,5,,,,
1585,27,,,,
1587,29,,,CANT RUN FROM IT,31
1589,21,1,,,
1592,21,22,,,
1593,29,16,,DESIRE TO PROTECT MY HOUSE,16
1595,21,,,,
1597,4,,,,
1598,21,,,,
1600,29,,,JUST DECIDED TO BOARD UP WINDOWS AND STAY TWO ADULTS JUST F,0
1602,6,,,,
1604,29,,,HAD TO WORK,18
1605,4,,,,
1607,29,,,I WANTED TO BE HERE IN CASE SOMETHING HAPPENED TO MY HOUSE AND PROTECT IT,16
1610,5,24,,,
1612,14,,,,
1613,29,,,LEAVING BEFORE HAND,0
1624,6,,,,
1626,6,,,,
1629,1,,,,
1636,16,,,,
1638,6,,,,
1640,6,,,,
1641,13,,,,
1643,5,,,,
1652,6,,,,
1655,6,,,,
1659,4,,,,
1660,12,,,,
1661,25,,,,
1662,6,,,,
1664,18,,,,
1665,29,,,WEATHER FORCASTERS DON'T KNOW ANYTHING,0
1666,5,,,,
1669,1,,,,
1671,7,6,,,
1672,29,,,I WAS NOT AFRAID,0
1675,6,,,,
1676,29,,,I FELT SAFE BEING HOME,6
1679,6,,,,
1680,17,,,,
1685,6,5,7,,
1686,21,,,,
1688,6,,,,
1690,7,,,,
1693,4,,,,
1696,6,,,,
1700,29,,,DIDN'T WANT TO LEAVE THE HOUSE,0
1703,17,,,,
1704,6,,,,
1706,29,,,DIDN'T WANT TO,0
1707,19,,,,
1708,6,,,,
1709,7,6,,,
1710,21,,,,
1712,4,,,,
1715,17,,,,
1718,28,,,,
1720,21,,,,
1722,6,1,,,
1727,6,7,,,
1729,15,,,,
1730,29,,,NOT WORRIED,30
1733,6,,,,
1735,4,,,,
1738,6,,,,
1739,6,29,,WE DONT LEAVE,33
1740,7,,,,
1742,29,,,BECAUSE I HAVE MADE IT THROUGH ALL HURRICANES,33
1743,6,,,,
1744,1,,,,
1746,29,,,BEEN THROUGH CAMILLE AND WERE,33
1748,6,,,,
1757,29,,,I DID NOT FEEL LIKE IT,0
1759,29,,,I DIDN'T FEEL IT WASNEEDED,30
1760,21,,,,
1764,21,,,,
1765,1,,,,
1766,10,,,,
1767,6,,,,
1768,9,,,,
1769,6,,,,
1770,6,7,,,
1774,18,,,,
1777,29,,,I WASN'T SCARED OF THE STORM,0
1781,29,,,COULDN'T I'M A NURSE,18
1782,13,,,,
1783,12,,,,
1785,6,,,,
1788,29,,,THE EXPENSE OF TRAVELING.,35
1793,29,,,I'VE NEVER HAD,33
1794,7,24,,,
1796,6,,,,
1800,7,,,,
1804,24,,,,
1809,6,12,,,
1815,6,7,,,
1816,21,,,,
1818,21,,,,
1819,21,,,,
1820,6,,,,
1822,16,4,,,
1825,6,,,,
1828,21,,,,
1829,1,,,,
1836,6,,,,
1839,21,,,,
1846,6,,,,
1848,4,,,,
1849,29,,,JUST WANTED TO STAY,0
1850,29,,,I ALWAYS STAY HOME,33
1851,4,,,,
1852,24,,,,
1853,1,,,,
1854,6,,,,
1856,21,,,,
1858,21,,,,
1859,21,4,,,
1862,4,,,,
1863,1,,,,
1864,13,,,,
1865,7,,,,
1868,30,,,,
1869,1,,,,
1878,6,,,,
1879,24,,,,
1880,1,,,,
1881,1,,,,
1882,21,,,,
1885,1,,,,
1888,1,,,,
1889,21,,,,
1891,29,,,NEVER THOUGHT ABOUT LEAVING,33
1892,29,,,MY HUSBAND IS SICK SO WE HAD TO STAY HERE,28
1893,29,,,I WENT THROUGHT BETSY(HURRICANNE) AND I PREFFERED TO STAY HOME,33
1894,21,,,,
1897,6,,,,
1898,14,21,,,
1902,29,,,KEPT TRACK OF IT,0
1904,29,,,IT WAS HARD TO GET OUT,0
1906,29,,,CAR BROKE DOWN,27
1910,27,,,,
1911,29,,,I ALWAYS STAY HOME DURING HURRICANES; I DON'T LEAVE I GOT TOO MUCH TO LOSE,"16, 33"
1912,27,,,,
1916,21,,,,
1917,16,,,,
1920,29,,,I ALWAYS STAY HOME NO MATTER WHAT,33
1921,1,,,,
1922,30,,,,
1923,7,6,,,
1926,6,,,,
1927,21,22,,,
1933,6,,,,
1934,6,,,,
1943,22,,,,
1945,6,,,,
1949,1,,,,
1950,21,,,,
1951,21,,,,
1954,18,,,,
1963,28,,,,
1964,6,,,,
1965,29,,,I DIDN'T FEEL IT WOULD AFFECT ME,30
1969,12,,,,
1970,28,,,,
1971,29,,,JUST DESIDED NOT TO GO,0
1978,13,,,,
1980,21,,,,
1981,6,,,,
1982,21,,,,
1983,18,,,,
1985,29,,,TRAFFIC INFORMATION WAS THE MAIN PORBLEM,21
1986,15,,,,
1990,11,4,,,
1991,5,12,6,,
1993,4,,,,
1994,12,,,,
1995,21,,,,
1997,18,,,,
1998,29,,,DIDNT WANT TO,0
1999,7,,,,
2003,24,,,,
2008,1,,,,
2010,29,,,HAVE LIVESTOCK IN PROPERTY ANN COULD NOT GET TO TRANSPORT ELSE WHERE,"16, 27"
2011,21,,,,
2012,6,28,,,
2013,6,,,,
2016,29,,,FAR ENOUGH AWAY FROM COASTLINE,34
2017,29,,,WE NEVER LEAVE,33
2019,29,,,JUST DESIDED TO STAY,0
2022,6,,,,
2023,29,,,RELATIVES REFUSED TO LEAVE,32
2024,1,,,,
2026,4,,,,
2027,25,16,,,
2028,11,,,,
2029,21,4,,,
2032,6,,,,
2033,1,,,,
2035,30,,,,
2036,6,,,,
2037,6,,,,
2041,5,6,,,
2044,6,7,,,
2047,29,,,RATHER JUST STAY AT HOME,0
2048,13,,,,
2049,30,,,,
2050,1,,,,
2051,27,29,,I FEEL SAFE IN MY HOME,6
2052,17,,,,
2054,30,,,,
2057,1,,,,
2058,18,,,,
2059,7,20,,,
2061,30,,,,
2062,29,,,JUST WANTED TO STAY,0
2063,21,6,29,FAMILY CAME TO HER HOUSE,32
2076,29,,,I AM AN AMATEUR METEOROLOGIST,0
2080,6,,,,
2081,14,6,,,
2084,5,,,,
2086,21,,,,
2087,21,,,,
2090,19,,,,
2092,18,,,,
2097,18,,,,
2101,29,,,ITS MY HOME,0
2102,9,,,,
2103,29,,,MY JOB,18
2104,6,,,,
2105,21,,,,
2106,6,,,,
2107,6,,,,
2109,4,,,,
2111,21,,,,
2112,6,,,,
2113,4,,,,
2114,4,,,,
2120,4,,,,
2125,29,,,WE ALWAYS STAY HERE,33
2127,13,,,,
2128,4,,,,
2129,21,29,,RELATIVES GOT STUCK IN STORM BECAUSE OF TRAFFIC,21
2131,6,7,,,
2134,6,,,,
2135,6,,,,
2138,6,4,,,
2139,29,,,IF GOD WANTS TO TAKE YOU HE'S GOING TO TAKE YOU.,31
2140,1,,,,
2141,16,,,,
2142,27,29,,GUT FEELING,0
2143,4,,,,
2146,28,,,,
2147,6,,,,
2148,4,,,,
2149,6,,,,
2151,4,6,,,
2152,6,7,,,
2154,4,,,,
2156,14,4,,,
2157,14,,,,
2158,16,15,,,
2160,3,,,,
2162,6,,,,
2163,6,4,,,
2164,6,,,,
2167,21,,,,
2168,6,,,,
2171,1,,,,
2174,29,,,THE COMMUNITY WHERE I LIVE IS SAFE.,5
2178,29,,,NO MONEY TO GO ANYWHERE ELSE,35
2183,29,,,IM 79 YEARS OLD AND I JUST QUIT RUNNING,28
2184,6,29,,I ALWAYS STAY IN MY HOUSE,33
2188,8,,,,
2191,1,4,,,
2195,21,29,,HAD TO WORK,18
2201,6,,,,
2203,21,,,,
2206,4,,,,
2208,6,,,,
2213,6,7,,,
2214,7,6,,,
2216,6,,,,
2218,1,5,,,
2219,29,,,HAD PLANE TICKETS FOR THE NEXT DAY,0
2221,21,,,,
2222,6,21,,,
2223,28,,,,
2225,6,,,,
2227,18,,,,
2228,6,,,,
2230,15,,,,
2231,6,,,,
2232,1,,,,
2235,29,15,,TO PROTECT MY HOUSE FROM BORDERLINE FLOODING,16
2236,29,,,TOO MANY PROBLEMS,0
2239,4,,,,
2240,29,,,DIDN'T WANNA LEAVE HOME,0
2241,29,,,STARTED OUT TO EVACUATE BUT HER CAR BROKE DOWN SO SHE HAD TO STAY HOME,27
2243,4,,,,
2244,24,,,,
2247,6,,,,
2250,18,,,,
2254,21,6,,,
2256,6,,,,
2257,29,,,HAD BEEN THROUGH PAST ONES,33
2258,4,21,6,,
2259,4,,,,
2260,30,,,,
2261,5,,,,
2262,4,,,,
2263,29,,,I WAS SICK,28
2265,6,,,,
2266,29,,,FELT SAFE HERE,6
2267,29,,,IN THE MILITARY,18
2271,6,21,14,,
2273,24,6,14,,
2278,6,,,,
2279,13,,,,
2284,21,,,,
2289,21,6,4,,
2293,1,3,4,,
2295,6,,,,
2299,1,4,,,
2300,21,,,,
2307,10,4,,,
2308,29,,,I WASN'T AFRAID OF THE STORM,0
2310,29,,,SAFER AT HOME,23
2313,6,,,,
2315,18,,,,
2318,21,,,,
2325,29,,,INCONVIENENCE,0
2326,6,,,,
2327,5,,,,
2328,24,,,,
2330,30,,,,
2336,6,,,,
2340,29,,,COULDN'T LEAVE BECAUSE BUSINESS,18
2343,29,,,THE WHOLE FAMILY WAS OVER HERE,32
2345,4,,,,
2350,6,,,,
2352,28,,,,
2353,7,,,,
2355,6,,,,
2356,18,,,,
2357,5,,,,
2362,6,,,,
2363,6,,,,
2364,13,,,,
2366,24,28,,,
2370,1,,,,
2372,6,,,,
2374,30,,,,
2375,12,,,,
2378,29,,,DIDNT KNOW WHERE TO GO,14
2380,6,,,,
2382,6,,,,
2386,6,,,,
2387,6,,,,
2388,24,,,,
2389,4,,,,
2396,29,,,WE DIDN'T FEEL WE HAD TO LEAVE,30
2397,18,,,,
2398,28,,,,
2399,1,,,,
2400,6,,,,
2403,30,,,,
2404,29,,,FINANCIAL PROBLEMS,35
2405,6,,,,
2407,4,,,,
2412,7,,,,
2414,29,,,IVE BEEN IN OTHER HURRICANES B-4,33
2415,13,,,,
2417,4,1,,,
2418,29,,,THOUGHT I WAS SAFER AT HOME,23
2421,29,,,I JUST THOUGHT DID AREA DID FINE IN PAST STORMS.,33
2425,6,,,,
2426,24,,,,
2429,6,,,,
2434,29,6,,MY JOB,18
2436,12,,,,
2439,6,,,,
2442,28,,,,
2443,18,,,,
2444,4,,,,
2445,6,,,,
2446,6,,,,
2447,29,,,COULDN'T GET OUT,0
2450,29,,,I WAS IN THE HOSPITAL,18
2451,6,29,,HAVE A GENERATOR,0
2461,5,,,,
2462,15,,,,
2463,30,,,,
2464,6,,,,
2465,29,,,"I THINK EVACUATIONS ARE NOT A GOOD IDEA,IF YOU LIVE ON A FLOOD AREA MISTAKE",23
2470,16,2,,,
2471,18,,,,
2472,4,,,,
2474,6,,,,
2475,29,,,STUBBORNESS. I DIDNT FEEL THE NEED TO LEAVE.,30
2476,30,,,,
2477,15,,,,
2480,1,16,,,
2481,6,,,,
2482,6,,,,
2483,1,,,,
2487,6,,,,
2490,6,,,,
2491,26,,,,
2492,4,,,,
2494,12,,,,
2496,29,,,NOT RELIABLE TRANSPORTATION,27
2497,29,,,I HAVE NEVER LEFT HERE BEFORE,33
2502,21,29,,HOUSE IS FAR AWAY FROM THE COAST,34
2505,6,,,,
2509,29,,,I KNOW MY HOUSE WON'T FLOOD,7
2512,30,,,,
2513,6,,,,
2514,6,,,,
2515,6,21,,,
2517,4,,,,
2519,24,28,,,
2520,4,,,,
2526,21,,,,
2527,6,,,,
2528,6,,,,
2530,28,,,,
2531,21,,,,
2538,1,,,,
2539,29,,,NO HOTELS,14
2540,6,,,,
2542,29,,,WANTED TO DO IT ALONE,0
2543,30,,,,
2546,12,,,,
2548,6,,,,
2549,21,1,,,
2550,18,,,,
2551,12,8,,,
2552,6,,,,
2554,29,,,WORKED ON THE PLANT FOR HURRICANE COVERAGE.,18
2556,26,,,,
2557,6,,,,
2560,29,,,I WOULD JUST STAY,0
2561,6,,,,
2563,29,,,I LIVE ON THE WATER,0
2565,28,,,,
2566,6,,,,
2573,21,8,,,
2576,29,,,MY WORK,18
2578,6,,,,
2579,29,,,NOT NESSESARY,30
2580,1,,,,
2583,6,,,,
2586,6,,,,
2589,6,7,,,
2596,30,,,,
2597,6,,,,
2601,21,,,,
2603,4,,,,
2608,1,,,,
2611,9,21,,,
2613,29,,,I HAVE BEEN HERE FOR 50 YEARS AND NEVER HADA PROBLEM AND MY HOUSEIS SAFE.,"33, 6"
2614,12,13,,,
2616,9,,,,
2619,29,,,DIDNT FEEL LIKE IT,0
2620,30,,,,
2622,17,14,,,
2623,29,,,WORK FOR UTILITIES AND IS ON CALL,18
2625,6,,,,
2626,7,,,,
2627,5,,,,
2630,6,,,,
2631,6,,,,
2632,23,,,,
2633,29,,,I DIDN'T CONSIDER THE IMINENT THREAT AT THE TIME,0
2638,6,,,,
2644,29,,,NEVER EVEN THOUGHT ABOUT IT,0
2651,13,,,,
2655,21,,,,
2660,29,,,I JUST NEVER GO ANYPLACE IN A HURRICANE,33
2662,5,,,,
2663,6,,,,
2664,3,1,,,
2665,6,,,,
2667,18,,,,
2669,18,,,,
2670,4,,,,
2671,29,,,HAD TO WORK,18
2673,18,,,,
2674,6,,,,
2675,6,7,,,
2680,6,1,,,
2685,6,5,4,,
2686,1,,,,
2687,29,,,JUST DIDNT WANT TO,0
2688,29,,,I JUST DONT LIKE TO RUN,0
2691,14,,,,
2693,13,,,,
2694,29,,,THE TRACK WAS WAY EAST OF US.,1
2696,6,,,,
2698,28,,,,
2700,1,,,,
2702,29,,,NEVER LEFT BEFORE,33
2703,29,,,THE LORD TELLS ME TO STAY,31
2707,6,,,,
2711,21,,,,
2712,18,,,,
2713,21,,,,
2714,29,,,I DECIDED TO STAY HOME AND PRAY,31
2715,29,,,NO HOTELS WERE AVALIABLE AND THE TRAFFIC WAS BACKED UP,"14, 21"
2723,29,,,I HAVE BEEN HERE FOR 50 YEARS AND NEVER HAD A PROBLEM,33
2724,29,,,THE WIFE SAID NO,32
2727,28,,,,
2731,16,,,,
2732,28,,,,
2733,29,,,DIDNT WANT TO LEAVE,0
2734,6,,,,
2735,21,,,,
2737,21,,,,
2741,12,13,,,
2744,21,29,,MY 93 YR OLD MOTHER DIDN'T WANNA LEAVE,32
2745,1,,,,
2746,6,,,,
2747,29,,,I DON'T USUALLY EVACUATE,33
2749,29,,,PARENTS DIDN'T GO ANYWHERE,32
2750,1,,,,
2752,22,,,,
2756,30,,,,
2757,24,,,,
2758,6,,,,
2760,29,,,DIDNT FEEL IT WAS NECESSARY,30
2762,29,,,WASNT CONCERNED,0
2766,30,,,,
2768,6,7,,,
2769,27,,,,
2774,6,,,,
2775,18,,,,
2778,6,,,,
2780,6,,,,
2782,1,,,,
2788,6,,,,
2790,5,,,,
2791,29,,,TRUST IN THE GOOD LORD,31
2792,16,6,,,
2794,29,,,I GOT A STORM SHELTER IN MY BACKYARD,0
2795,29,,,HAD TO WORK,18
2796,29,,,WE NEVER DO,33
2798,6,,,,
2800,6,4,,,
2802,7,,,,
2803,7,,,,
2805,21,6,5,,
2808,12,,,,
2809,6,,,,
2810,29,,,THIS IS JUST A SUMMER RESIDENCE WE ARE NOT HERE ALL THE TIME.I LIVE IN LA.,0
2815,1,,,,
2820,4,,,,
2826,5,,,,
2827,24,,,,
2829,15,,,,
2830,6,,,,
2832,21,,,,
2835,28,,,,
2842,1,,,,
2845,21,,,,
2847,29,,,NEVER HAD A PROBLEM WITH THEM,33
2852,6,,,,
2854,17,,,,
2855,21,,,,
2857,4,6,,,
2858,6,,,,
2863,6,15,,,
2864,29,,,DIDNT WANT TO GO,0
2865,28,,,,
2866,29,,,WE WERE WAITING TO THE LAST MINUTE THEN WE DECIDED NOT TO GO,0
2868,30,,,,
2869,6,5,,,
2878,1,12,,,
2881,4,,,,
2884,29,,,I RODE CAMILLE,33
2885,6,,,,
2887,6,7,,,
2888,6,,,,
2890,4,,,,
2892,6,,,,
2893,30,,,,
2894,18,,,,
2895,21,,,,
2896,4,,,,
2898,29,,,IT WAS GOING TO BECOME A STAND STILL IT WOULD OF BEEN WORSE ON THE ROAD,23
2904,29,5,,HOUSE NOT ON THE WATER,34
2905,18,,,,
2906,30,,,,
2909,21,,,,
2913,29,,,I HAVE NEVER LEFT ON ANY HURRICAN,33
2914,21,,,,
2915,29,,,I HAD MADE THE NECESSARY PREPARATIONS TO STAY,0
2919,29,,,NEVER LEFT,33
2922,10,,,,
2924,6,,,,
2925,6,21,,,
2927,6,,,,
2929,29,,,WEATHERED STORMS ALL MY LIFE HERE,33
2931,14,,,,
2933,6,,,,
2935,29,,,DIDN'T THINK IT WAS NECESSARY,30
2936,28,6,,,
2938,12,,,,
2939,10,,,,
2940,28,,,,
2943,29,,,FINANCIALLY,35
2944,8,,,,
2945,6,,,,
2949,18,,,,
2950,6,,,,
2951,29,,,EXPERIENCE WITH OTHER STORMS,33
2952,21,,,,
2953,4,6,,,
2955,6,,,,
2956,4,,,,
2959,6,,,,
2960,6,,,,
2964,7,,,,
2966,6,29,,I BELIEVE IN GOD,31
2969,30,,,,
2972,22,,,,
2975,14,,,,
2976,6,,,,
2978,4,,,,
2982,4,,,,
2983,6,,,,
2984,2,,,,
2985,6,29,,EXPERIENCE IN OTHER STORMS,33
2987,21,,,,
2992,6,7,,,
2994,29,,,DONT EVER LEAVE,33
2995,6,,,,
2997,5,6,7,,
3000,6,7,,,
3001,7,12,,,
3003,11,,,,
3007,21,,,,
3009,6,,,,
3019,4,,,,
3021,6,7,,,
3027,21,,,,
3028,5,4,,,
3029,14,,,,
3030,23,,,,
3031,5,,,,
3035,29,,,EXPERIENCE OF WHERE I AM AND THE STURDINESS OF MY HOUSE,6
3036,27,,,,
3037,15,,,,
3038,6,,,,
3040,6,,,,
3041,29,,,I LIVE 19 MILES FROM THE GULF COAST SOI DIDN'T FEEL THREATEN,34
3042,9,,,,
3044,6,,,,
3047,29,,,WASNT THREATENED BY IT,0
3048,12,13,,,
3050,27,14,,,
3053,19,,,,
3057,29,,,I JUST DIDN'T WANT TO,0
3058,21,,,,
3062,7,,,,
3067,21,,,,
3069,16,6,,,
3070,21,24,,,
3071,12,,,,
3074,6,,,,
3077,14,,,,
3079,12,13,,,
3081,29,,,I HAD TO WORK,18
3087,6,,,,
3089,6,,,,
3090,6,,,,
3091,12,,,,
3092,18,,,,
3095,5,1,,,
3100,29,,,JUST WOULD'T LEAVE,0
3102,18,,,,
3103,29,,,FELT SAFE BY INSTINCT,0
3104,20,,,,
3110,30,,,,
3112,29,,,MY HUSBAND JUST DIED AND DIDN'T WANT TO.,0
3114,1,6,21,,
3115,29,,,WORK FOR NEWSPAPER COULD NOT LEAVE,18
3118,6,4,,,
3119,6,17,,,
3121,6,,,,
3122,18,,,,
3125,4,,,,
3129,5,,,,
3131,6,,,,
3133,6,,,,
3134,29,,,BECAUSE OF EXPERIENCE IN PREVIOUS HURRICANES,33
3135,6,,,,
3136,7,6,,,
3140,4,,,,
3141,27,,,,
3143,19,,,,
3145,30,,,,
3148,6,17,,,
3151,4,,,,
3152,18,,,,
3153,6,,,,
3154,30,,,,
3156,28,27,,,
3157,5,,,,
3158,4,,,,
3164,6,,,,
3166,1,,,,
3171,17,,,,
3172,6,,,,
3173,6,,,,
3176,6,12,,,
3180,21,,,,
3181,6,7,26,,
3184,12,13,,,
3185,6,,,,
3186,21,,,,
3187,30,,,,
3192,29,,,I DID TRY TO ATTEMP TO LEAVE BUT HEARD THE HURICANE TURNED I HEADED BACK,1
3196,6,,,,
3198,27,,,,
3199,4,,,,
