q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q1a,q1b,q1c,q1d,q1e,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,q2k,q2l,q2m,q2n,county,dist_river,dist_lake,dist_coast,q3
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,846.351,2114.004,2114.004, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,51.865,51.865,51.865, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,788.139,5328.917,5328.917, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
37,2,3,1,2,0,5,3,2,1,4,4,5,3,2,5,5,2,3,3,4,4,5,5,5,5,4,1,5,2,1531.899,3518.17,3518.17,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1065.022,6230.197,6230.197, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,315.495,2781.294,2781.294, 
58,1,3,1,2,0,2,5,2,2, , , , , , , , , , , , , , , , , , , ,2,573.076,2811.724,2811.724, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
31,1,3,1,4,0,4,5,2,2,4,4,5,3,3,5,3,5,3,3,5,4,4,4,1,3,3,2,1,2,693.301,2272.281,2272.281,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1425.968,4826.696,4826.696, 
29,1,3,3,2,0,3,4,2,4,4,4,3,1,5,5,5,4,4,5,4,5,4,1,1,3,1,2,2,2,284.991,13456.589,40409.617,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,496.362,2957.341,2957.341, 
22,1,3,1,4,2,3,2,2,4,3,5,5,4,2,5,4,3,2,3,3,3,5,5,3,4,1,1,4,2,131.509,131.509,131.509,2
30,2,3,1,5,3,3,5,2,1,5,4,5,1,3,4,4,4,2,5,5,4,3,1,2,1,1,1,1,2,837.862,1096.269,1096.269,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,839.073,1096.677,1096.677, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,115.585,1927.17,1927.17, 
48,2,3,1,2, ,2,5,2,1,5,5,3,3,4,5,5,5,5,5,5,5,5,5,2,5,1,2,1,2,1448.007,2917.225,2917.225,2
65,1,5,1,3,0,5,4,2,2,3,4,4,1,4,5,5,4,4,5,4,4,3,5,5,2,4,4,4,2,1524.896,3050.692,3050.692,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1635.666,3114.87,3114.87, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1635.666,3114.87,3114.87, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1635.666,3114.87,3114.87, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1635.666,3114.87,3114.87, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1512.673,3043.086,3043.086, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
43,2,3,1,3,1,1,1,2,4,5, , , , ,5, , , , , , , , , , , , , ,2,425.826,425.826,425.826,2
70,2,4,1,2, ,2,1,2,5,5,5,5, ,5,5,5,5,5,5,5,5,5, ,5,5, , , ,2,468.062,468.062,468.062,2
44,1,3,1,4,0,3,4,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,557.455,557.455,557.455,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,385.015,385.015,385.015, 
78,1,3,4,3,0,5,1,2,1,5,5,5,1,3,5,1,5,1,5,5,5,5,5,3,5,5,5,5,2,154.484,154.484,154.484,2
46,1,3,1,4,1,3,4,2,1,4,4,4,3,1,5,1,1,1,1,1,5,3,1,1,1,1,1,1,2,158.499,158.499,158.499,2
54,2,3,4,2,0,2,1,2,1,1,5,3,1,5,5,5, ,3,2,5,5,1,3,1,3,1,5,5,2,166.684,166.684,166.684,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,411.445,2309.091,2309.091, 
57,2,5, ,2,0,1,1,2,1, , ,2, , , , , , , , ,2, , , , , , , ,2,392.823,1130.028,1130.028,2
52,1, ,1,2, ,1, ,2,1,5,4,5, ,4,4,4,3,4,4,4,5,3,5,5,4,5, ,3,2,256.201,1201.58,1201.58,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,802.44,1997.209,1997.209, 
37,2,3,1,5,3,3,5,2,1,5,5,4,4,3,5,3,3,4,4,5,5,5,4,3,4,2,5,5,2,718.687,2799.874,2799.874,2
42,1,3,1,2, ,4,5,2,1,2,2,4,1,3,5,4,1,1,3,4,3,3,1,1,4,1,1,2,2,408.87,408.87,408.87,2
35,2,3,1,4,2,3,1,2,4,5,5,5,5,5,5,5,5,3,5,5,5,3,3,3,5,1,3,2,2,637.409,2601.678,2601.678,2
89,2,5,4,1,0,1,1,2,1,1,1,1,1,1, , , ,1, ,4,4,4,2,1,2,1,1, ,2,635.689,2591.741,2591.741,1
35,2,3,3,4,3,4,4,2,1,5,4,5,4,4,5,3,2,2,3,5,5,4,1,3,4,1,1,2,2,671.661,2666.423,2666.423,2
37,2,3,1,4,2,4,5,2,1,5,5,4,3,4,5,5,5,3,4,4,5,5,4,3,5,3,3,5,2,648.258,2631.111,2631.111,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,652.384,2638.848,2638.848, 
47,1,3,1,5,3,3,5,2,1,3,4,4,4,3,5,4,3,2,3,4,4,5,4,1,2,1,1,4,2, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
27,2,3,1,4,2,4,5,2,1,2,5,3,1,4,5,2,4,4,5,5,5,3,2,1,4,1,1,2,2,349.926,2790.91,2790.91,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,970.825,1506.658,23092.102, 
70,2,5,4,2,0,2,1,2,1,5,5,5,1,5,5,2,5,4,5,5,5,4,5,5,5,1,5,2,2, , , ,2
61,1,3,4,1,0,1,4,2,1,4,5,4,1,1,3,4,2,2,1,1,4,5,4,2,2,1,1,2,2,609.573,997.905,997.905,2
41,1,3,1,4,0,2,5,2,1,5,5,4,4,5,5,1,5,5,5,5,5,5,1,2,2,2,3,5,2,610.841,997.833,997.833,2
17,1,1,1,4,1,2,1,1,5,1,3,5,1,3,1,3,4,2,4,3,2,3,2,4,5,1,4,3,2,616.441,997.959,997.959,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,616.441,997.959,997.959, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,616.441,997.959,997.959, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,617.98,998.094,998.094, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1959.759,2821.023,2821.023, 
48,1,3,1,4,2,4,5,2,1,5,4,4,3,4,5,4,4,3,4,4,4,5,4,4,4,4,4,4,2, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,8204.871,31293.449,53306.504, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,83.198,83.198,83.198, 
46,1,3,1,6,2,2,2,2,1,3,4,5,1,3,5,5,5,2,3,2,5,5,3,1,3,1,1,1,2,85.518,85.518,85.518,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,83.712,1650.519,1650.519, 
61,1,3,1,2,0,3,4,2,1,1,5,5,1,1,5,5,3, ,2,5,1,4,4,1,3,1,1,1,2, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,463.983,4261.551,4261.551, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,879.399,4128.499,4128.499, 
 ,2,3,1,3,0,2,5,2,1,3,5,3,1,4,5,5,5,3,4,5,3,5,5,3,3,3,4,4,2,908.698,4073.728,4073.728,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,908.14,4014.58,4014.58, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1055.347,3807.906,3807.906, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1055.347,3807.906,3807.906, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,161.467,161.467,161.467, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
56,2,3,4,4,1,2,1,2,1, , ,4, ,4,4,5,1,1,1,4,5,1,1,5,1,4,4,2,2,310.74,9962.982,11774.932,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,243.293,10643.938,11621.898, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,462.516,6736.984,6736.984, 
30,1,3,1,2,0,4,5,2,2,5,5,4,1,4,5,4,5,3,4,5,5,4,3,4,4,3,2,5,2, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
79,2,3,4,1,0,2,1,2,1,5,5, , , ,3,1,1,3,4,5,5, , , , , , , ,2, , , ,2
76,2,3,4,1,0, ,1,2,1,3,4,4,1,4,5,4,4,2,3,4,4,4,2,4,4,1,2,3,2, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
47,1,3,3,3,2,4,4,2,4,5,5,5,5,3,5,5,5,1,3,3,5,5,3,3,3,1,3,5,2, , , ,2
45,1,3,3,2,0,3,4,2,1,5,4,3,1,4,5,5,2,2,2,3,5,5,4,5,5,5,5,3,2, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
44,2,3,1,3,1,2,5,2,1,5,5,5,4,3,5,1,5,3,3,5,5,5,1,1,5,3,3,2,2,1803.215,20870.746,42772.18,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,781.894,2983.439,2983.439, 
21,2,3,1,4,2,2,4,2,4,3,5,1,1,4,5,5,1,3,5,4,5,5,5,3,5,5,5,3,2, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2780.27,11903.217,11903.217, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2765.293,11902.835,11902.835, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2753.627,11902.124,11902.124, 
68,2,5,1,2,0,1, ,2,1,5,5,5,5, ,5,5,5, , ,5,5,5, ,1,1,1,1,5,2,2779.55,11903.143,11903.143,2
94,2,3,1,2,0,1,1,2,1, ,5,5, , ,5,3,4,4,5,5,5,5,1,3,5,1,4,4,2,2681.293,11899.352,11899.352,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,880.791,3084.142,3084.142, 
40,2,3,1,4,2,2, ,2,1,5,5,5,2,5,5,3,5,5,5,5,5,5,4,4,4,4,4,4,2,306.644,6173.705,6173.705,2
58,2,1,3,2,1,3,4,2,5,5,5, , , ,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,849.651,1375.652,1375.652,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,824.947,3060.08,3060.08, 
48,1,5,1,4,2,1,3,2,4,1,1,5,1,3,5,4,4,4,5,5,5,5,3,5,5,5,3,1,2, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1183.832,9104.103,9104.103, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1095.31,9346.477,9346.477, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,158.094,6029.335,6029.335, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,153.658,7056.382,7056.382, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,390.42,4754.431,4754.431, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,367.033,4785.161,4785.161, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,289.484,5707.287,5707.287, 
37,2,3,1,4,2,4,5,2,4,5,5,3,2,3,5,5,3,2,2,4,5,5,4,3,4,3,2,1,2,214.811,6020.765,6020.765,2
44,1,3,1,3,1,2,5,2,1,5,4,4,5,1,5,5,5,1,1,3,2,5,1,1,1,1,2,1,2,210.571,6012.651,6012.651,2
61,1,3,1,2,0,2,5,2,2,3,4,1,1,1,5,3,3,1,1,3,4,3,3,2,2,1,4,5,2,632.831,6443.404,6443.404,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,634.417,6442.454,6442.454, 
49,2,3,1,14,5,2,3,2,2,3,4,3,2,4,4,4,4,4,4,3,4,4,2,3,4,3,4,4,2,494.884,7377.753,7377.753,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,510.72,7350.794,7350.794, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,73.623,7613.133,7613.133, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,79.771,7629.053,7629.053, 
60,1,3,1,2,0,5,5,2,1,4,5,5,5,4,5,4,3,3,3,3,4,5,5,4,4,1,2,4,2,1210.804,8882.093,8882.093,2
42,2,3,2,1,0,5,4, ,1,5,5,5,5,5,5,1,3,1,4,4,5,3,4,1,4,1,1,1,2,1347.887,8793.392,8793.392,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1344.86,8794.908,8794.908, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1325.545,8805.013,8805.013, 
47,1,3,1,4,2,4,5,2,1,5,4,4,4,4,5,5,1,1,4,4,5,5,1,1,1,1,3,5,2,1266.896,8839.518,8839.518,2
53,1,3,1,5,2,3,5,2,1,2,5,2,2,3,5,2,2,2,1,3,3,5,4,4,1,1,1,2,2,1174.627,8966.041,8966.041,2
31,1,3,1,2,2,3,5,2,4,2,3,3,1,4,5,5,5,1,2,2,3,5,1,1,3,1,4,1,2,226.331,7268.229,7268.229,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,99.937,99.937,20817.777, 
40,2,5,1,3,1,2,5,2,4,2,2,3, , ,4,4,2,2,2,3,2,4,4,1,3,2,1,2,2,108.89,5981.658,5981.658,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,239.853,7313.167,7313.167, 
38,1,3,1,5,3,1,3,2,4,1,5,4,5,2,5,4,5,3,3,3,5,3,2,2,1,1,2,2,2,212.257,7253.507,7253.507,2
52,1,5,1,3,1,2,3,1,1,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,112.993,5492.639,5492.639,2
82,1,3,1,2,0,2,4,2,1,4,5,4,1,4,5,5,5,4,3,4,4,5, ,4,4,2,3,4,2,120.93,5508.415,5508.415,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,134.076,5564.255,5564.255, 
54,1,5,1,2,0,2,5,2,1,5,5,3,1,4,5,1,1,1,1,5,5,5,1,1,1,1,1,1,2,110.928,5601.11,5601.11,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,55.74,6955.942,6955.942, 
33,2,3,1,4,2,2,4,2,1,4,4,4,5,4,5,5,5,3,3,3,3,3,5,5,5,3,4,1,2,882.363,3085.013,3085.013,2
61,1,3,1,2,0,5,5,2,1,5,5,5,1,1,5,1,1,1,1,5,5,5,1,1,1,1,1,3,2,882.363,3085.013,3085.013,2
34,2,3,1,4,2,3,5,2,4,1,4,4,1,2,5,3,4,1,2,3,4,4,3,1,1,3,4,2,2,882.363,3085.013,3085.013,2
40,1,3,1,2,0,3, , ,1,2,4,2,2,4,5,2,4,3,5,3,5,5,3,3,3,3,3,4,2,881.975,3084.806,3084.806,2
76,1,3,1,2,0,5,5,2,1, , , , , ,4,1,4,1,1,3,3,5,3,4,5,3,1,2,2,881.975,3084.806,3084.806,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,881.55,3084.547,3084.547, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,879.985,9315.861,9315.861, 
48,1,3,1,3,1,2,5,2,1,4,5,5,5,4,5,5,5,5,5,5,5,5,1,5,5,1,4,4,2,1691.895,4073.206,4073.206,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,46.185,2165.765,22886, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,472.748,1290.247,25379.531, 
64,2,3,1,2,0,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1083.132,2379.647,24171.031,1
43,1,3,1,8,5,3,5,2,1,5,4,3,3,3,4,4,5,2,2,4,4,4,4,3,3,1,1,3,2,1024.255,2263.666,24211.785,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,741.081,2340.583,25144.775, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1062.386,2136.295,25450.893, 
31,1,3,1,3,1,3,4,2,4,5,5,4,1,4,5,5,4,4,5,5,5,5,1,1,5,2,4,1,2,969.972,2146.107,25384.07,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1188.854,1710.711,24905.938, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1306.144,1567.966,24775.273, 
50,2,3,1,2,0,2,4,2,1,5,5,3,3,2,4,4,5,4,4,4,5,4,4,3,5,5,4,3,2,1161.03,1161.03,24623.893,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,602.724,602.724,24495.959, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,573.92,573.92,21933.279, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,906.151,2273.021,25487.203, 
46,1,3,1,4,1,2,2,2,1,1,5,5,4,5,5,5,5,2,5,5,5,4,3,3,1,4,3,1,2,941.596,1943.206,24990.207,1
72,1,3,4,1,0,3,1,2,4,1,5,3,1,1,5,5,1,1,2,3,4,5,1,1,5,1,4,4,2,940.072,1950.145,25005.215,2
66,1,3,1,2,0,3,3,2,1,2,5,3,1,5,5,5,5,3,5,5,5,5,5,5,5,1,5,5,2,935.256,2388.303,24807.65,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,891.332,2266.271,24864.848, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,889.23,2268.823,24865.668, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
56,1,3,1,2,4,4,5,2,5,3,3,3,1,3,5,5,5,3,4,3,4,4,5,5,5,3,3,5,2, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
45,2,3,1,5,0,4, ,2,1,1,5,2,1,3,5,5,2,2,3,4,4,4,4,1,4,1,1,1,2,692.5,2722.914,23830.021,2
66,1,3,1,2,0,5,2,2,1,3,5,5,1,2,3,3,3,3,3,3,3,5,5,4,4,4,5,5,2,839.639,2803.178,24106.746,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,924.357,2420.178,24824.373, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1246.091,1603.928,25061.355, 
48,2,3,1,3,0,2,5,2,4,5,5,5,3,5,5,5,5,3,5,5,5,5,3,5,5,1,1,5,2,1259.282,1592.476,25041.26,2
57,2,5,2,2,0,2,2,2,1,3,5,3,1,2,4,4,5,2, ,4,4,5,4,5,3,1,1,5,2,1238.012,1610.673,25073.389,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,774.782,1740.666,23318.607, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,928.863,1523.561,23266.945, 
79,1,3,1,2, ,2,1,2,1,5,4,2, ,4,5,5,3,3,4,3,5,5,3,3,3,1,1,5,2,948.373,1498.678,23261.109,1
44,1,3,1,3,1,3,5,2,1,5,5,5,5,3,5,5,5,1,2,5,4,5,5,2,5,4,1,3,2,1009.855,1422.878,23243.627,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1089.819,1328.327,23221.822, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1116.538,1297.468,23214.893, 
62,2,3,4,1,0,3,2,2,1,5,5,4,2,4,5,5,5,5,5,5,5,2,1,4,5,5,5,5,2,1116.538,1297.468,23214.893, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,235.146,3215.44,23783.807, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1.418,2997.708,22983.738, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,629.65,3730.769,21997.199, 
69,1,5,2,3,0,5,3,2,1,1,4,1,1,3,5,5,5,5,5,5,5,5,5,5,4,2,4,5,2,974.47,3146.566,24572.791,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
61,1,6,1,5,2,3,2,2,4,2,4,1,1,1,3,3,4,2,2,2,3,5,3,3,3,1,3,3,2, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,320.387,2828.159,23963.939, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,662.782,2461.663,23507.234, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,638.677,2375.08,23482.813, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,616.06,2139.073,23418.004, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1432.591,1432.591,24737.096, 
47,1,3,1,2,0,3,4,2,1,1,4,3,1,1,5,5,4,1,1,5,4,5,1,1,3,1,1,1,2, , , ,2
41,1,3,1,5,2,2,5,2,1,4,4,3,4,4,4,5,4,3,4,3,4,4,4,4,3,3,3,4,2, , , ,2
30,2,3,1,4,2,2,4,2,1,4,5,5,1,3,4,4,4,4,1,2,3,3,3,1,1,1,2,4,2,739.682,2414.891,25513.658,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1103.411,3096.316,24710.252, 
50,2,5,1,2,0,2,4,2,1,3,5,3,1,1,5,5,1,1,1,5,2,5,1,1,1,1,1,1,2,178.838,580.548,25763.049,2
48,2,3,2,1,0,3,1,2,1,5,3,1,1,2,4,3,1,1,2,2,5,2,4,2,2,1,3,4,2,181.384,576.936,25763.063,2
51,1,3,2,1,0,2,5,1,2,1,4,1,1,1,5,5,5,1,1,4,3,5,5,4,4,1,1,5,2,428.774,1898.907,23799.139,1
58,1,3,1,2,0,4,5,2,2,5,5,1,1,1,5,5,5,4,5,5,5,5,1,1,5,1,5,5,2,1296.373,1938.912,23883.398,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,24.58,2790.094,23486.537, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,924.832,2778.309,24160.605, 
53,2,3,3,2,0,3,1,2,4,4,5,3,1,3,5,5,5,2,4,4,4,5,3,2,5,1,3,1,2,267.782,3170.429,23786.973,1
55,1,3,1,2,0,2,5,2,1,4,4,5,1,1,4,4,4,2,3,3,4,4,5,2,3,1,1,2,2,911.707,1874.548,24705.031,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4944.024,5906.515,28594.822, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2826.841,3397.031,26457.93, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3624.456,3945.325,28051.438, 
48,1,3,1,2,0,2,5,2,1,4,4,3,3,3,5,5,5,5,5,5,5,5,4,3,3,2,4,4,3,2643.296,4452.495,29281.996,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2937.296,3246.935,27411.381, 
58,2,3,3,2,0,2,2,2,1,5,5,3,3,2,5,5,5,2,2,4,5,2,2,2,3,3,4,3,3,2096.561,2622.891,25829.146,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1998.176,2496.992,25752.211, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3185.554,3222.974,27823.594, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,13422.888,28660.506,28660.506, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,13541.512,30187.742,30187.742, 
53,2,3,2,2,0,5,3,2,1,2,5,5,1,2,3,3,3,3,3,4,4,5,5,3,1,1,5,5,3,1985.382,23796.965,43160.805,1
39,2,3,1,5,3,2,5,2,1,3,5,2,1,2,5,2,2,2,2,5,5,5,3,1,2,1,2,4,3,3047.375,13066.042,33825.289,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3965.418,14375.286,33285.359, 
37,2,3,1,3,1,3,5,2,1,2,5,5,3,3,3,2,2,2,3,3,3,4,3,1,3,3,4,5,3,3233.07,10236.996,32900.48,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5968.372,11118.774,30253.033, 
