q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q1a,q1b,q1c,q1d,q1e,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,q2k,q2l,q2m,q2n,county,dist_river,dist_lake,dist_coast,q3
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5001.151,12850.797,31665.336, 
46,1,3,1,2,0,2,5,2,1,1,3,5,1,1,3,3,3,2,2,2,2,4,5,1,3,1,1,5,3,3069.464,12104.415,33350.605,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5238.199,13560.288,31797.734, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4854.484,15338.943,32744.641, 
35,2,3,2,3,2,1,1,1,4,1,4,1,1,3,2,2,4,1,1,3,3,3,4,1,1,1,2,4,3,2024.406,14431.206,35272.605,1
70,1,6,1,2, ,3,3,2,1,1,5,5,1,3,5,5,1,3,3,3,5,3,3,3,3,3,3,3,3,4504.967,11365.762,31617.865,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
51,1,3,1,2,0,4,2,2,1,5,5,5,5,1,5,1,1,1,1,5,5,5,5,1,1,1,1,3,3,4064.818,11671.01,32125.477,2
47,1,3,1,3,1,4,5,2,1,4,2,2,1,1,3,3,3,2,1,2,3,4,1,1,1,1,1,1,3,2850.899,10303.419,33289.398,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2943.289,9897.166,32980.457, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3080.761,27223.691,46556.605, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1996.279,14312.702,35264.039, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5052.94,13135.624,31764.057, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5198.832,12765.829,31464.088, 
42,1,3,2,2,0,2,1,1,2,1,4,4,4,1,4,1,1,1,1,1,1,5,5,4,1,1,1,1,3,6901.209,10646.297,29337.512,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,398.773,1322.412,22216.553, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1060.328,10374.709,23920.568, 
48,2,1,2,2,1,2, ,1,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1477.344,1958.47,21259.783,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4175.46,4736.347,25768.869, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,533.862,1069.564,22678.342, 
66,2,3,1,2,0,2,2,2,1,1,5,4,1,1,5,1,1,1,1,1,1,4,4,1,2,1,1,1,3,1949.455,8964.075,24361.449,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2038.316,2531.037,22282.893, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1485.431,8890.477,23915.738, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1503.94,9128.551,23977.516, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2006.741,2434.397,21629.482, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2007.028,2435.511,21624.898, 
82,2,1,4,1,0, ,2,2,1,1,4,4,2,4,3,4,3,2,3,4,4,5,2,5,4,1,4,4,3, , , ,2
48,1,1,2,3,0,2,4,2,2,5,5,5,4,5,5,5,4,3,4,5,5,5,3,1,1,1,3,5,3,1386.63,1949.623,23585.699,2
72,1,1,1,1,0,1, ,2,2,2,5,5,1,3,2,4,5,2,2,4,5,4,2,5,5,1,1,5,3, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3802.671,4347.876,25394.787, 
75,2,1,4,6,5,4,3,2,3,3,5,5,1,5,5,4,3,5,3,4,4,4,5,5,5,1,5,5,3,2232.24,7460.579,23753.801,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3253.894,10677.673,25945.236, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3316.453,3875.401,25354.494, 
 , , , , , , , , , , ,4, ,5, ,5,1,3,1,1,3,3,3,3,1,1,1,5,5,3,2222.504,2844.703,25708.826,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
74,2,3,4,1, ,1,1,1,5, ,5, , , , , , , ,5, ,5, , , , , , , ,3,3311.111,3819.002,26366.48,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5679.449,10076.102,30172.09, 
42,2,3,1,4,1,3,5,2,1, ,5, , ,5,5, ,5, , , , , , , , , , ,5,3,5498.362,9894.041,30233.273,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5495.048,9888.044,30233.158, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2835.574,3046.482,27422.768, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,853.105,1332.961,23639.826, 
36,1,1,1,4,1,2,4,2,2, ,2, , , , , , , ,3, , , , , , , , , ,3,702.456,1271.376,23160.988,1
68,2,3,4,6,3,2,2,2,1,4, ,5, ,5,5, , , , ,5,5,5, , , , , , ,3,1917.994,2473.03,24235.988,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1741.523,2300.227,24168.477, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2937.427,3491.828,25351.77, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1421.54,1963.075,24656.107, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2202.61,2633.084,25147.615, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,810.038,1362.701,23359.4, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,901.303,1508.936,24446.055, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2378.007,3637.903,29019.336, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,591.918,1009.39,23606.221, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4586.66,5007.58,27176.525, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,561.534,1101.157,23875.322, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,921.459,1490.733,23371.684, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3009.27,3568.563,25319.402, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3419.58,3965.125,25932.926, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4192.297,4702.418,26688.133, 
75,1,3,1,3,0,2, ,2,1,3,4,5,1,3,5,5,4,3,3,4,4,5,5,4,4,1,1,4,3,4290.251,4844.469,26521.684,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,22460.93,39908.891,48278.895, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3977.55,9882.448,31614.088, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
71,1,3,1,2,0,3,3,2,1,2,2,4,1,4,5,4,5,1,2,3,1,4,4,2,2,1,1,5,3,4118.053,9357.679,31141.467,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1237.571,9154.146,34670.988, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4203.306,9573.025,31148.043, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
55,2,3,4,1,0,2, ,2,1,4,3,2,1,5,5,5,3,3,3,3,3,3,3,5,5,5,3,5,3,3072.082,9727.684,32663.383,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
40,2,3,1,6,2,2,5,2,1,4,5,4,3,2,5,4,2,3,3,4,4,3,4,3,4,4,4,4,3, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1712.195,23745.357,43356.875, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2237.164,26652.828,46944.465, 
60,2,1, ,1,1,1,1,1,1,1,4,4,1,4,2,4,4,3,3,4,4,5,4,5,5,5,5,5,3,1609.31,22182.76,42815.762,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1904.489,24550.484,43896.172, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1168.855,25576.467,46424.301, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1381.453,25769.301,46458.473, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2828.536,24405.547,42891.902, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3342.996,27606.555,47018.813, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
26,1,3,1,2,0,4,5,2,1,3,4,4,3,2,4,4,3,3,2,3,3,3,4,1,1,1,1,1,3,3239.668,27615.506,47312.324,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2485.747,29290.764,50371.602, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3713.648,28652.717,48866.441, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2786.01,29406.568,50246.957, 
52,2,1,1,3,1,5,5,2,1,5,5,4,1,3,5,1,5,5,5,4,5,5,3,5,5,5,5,5,3,2777.195,29599.012,50444.594,1
82,2,3,4,1,0,2,2,2,1,3,3,3, , ,4,4, ,3,3,1,3,4,5,1,1,1,1,3,3,2637.765,27615.072,49015.398,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2572.981,27319.621,48911.117, 
44,1,1,1,3,1,3,5,2,1,1,4,3,1,1,5,4,4,2,1,2,5,3,3,4, ,2,1,2,3,1602.132,26167.588,47506.293,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2160.272,26818.939,48435.82, 
69,1,3,1,2,0,2,3,2,1,3,4,2,1,1,4,2,2,2,3,3,3,3,3,2,2,1,1,5,3,3221.329,29728.346,50217.832,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1750.69,26315.568,47584.586, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3464.409,28019.469,48343.336, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1720.782,26345.951,47988.906, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , 
78,2,3,1,2,0,5, ,2,1, ,5,5, , , , ,5, , ,5,5,5,5,5,5, ,5,5,3,2834.365,28565.387,49468.719,1
53,2,1,3,3,2,2,3,2,1,4,5,5,3,4,5,5,4,4,5,3,4,3,1,2,2,1,3,4,3,1336.83,27854.727,50104.797,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2470.525,29755.811,50860.898, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1816.442,28452.629,50134.992, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2302.889,22067.121,42167.691, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4792.842,21811.721,39860.016, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4230.204,23376.982,40961.348, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4276.497,23595.248,41032.516, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2631.358,21724.107,41796.285, 
49,2,1,1,5,3,3,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2017.692,22325.584,42496.492,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2084.845,22500.814,42506.43, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2989.107,22635.158,41741.012, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2528.803,21632.107,41879.539, 
73,2,1,1,2, ,2, ,2,1, ,5, , , , , , , , ,5, , , , , , , , ,3,2699.096,23097.168,42162.746,1
 , ,1,1,3,0,5, ,2,1,1,5,5,1,1,3,3, ,1,1,5,1,5, ,2,4,1,1,1,3,3800.128,25319.018,42804.348,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4126.246,25697.826,42868.016, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4217.379,21313.896,40254.133, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3232.153,23128.248,41716.293, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5249.024,14941.916,31544.113, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2701.744,22298.074,41892.781, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3859.385,24379.4,41916.184, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3272.854,22433.279,41431.246, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4239.541,20980.727,39837.098, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,7931.452,27376.709,40555.504, 
48,1,1,1,4,1,5,3,2,1,2,5,5,3,1,1,1,4,1,1,5,2,3,1,1,4,1,1,1,3,8582.824,27458.699,39906.566,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4161.893,23738.686,41216.355, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5166.447,22994.906,39938.707, 
43,2,3,2,3,0,2,5,2,5,5,5,1,1,1,3,1,1,1,1,4,5,3,3,1,1,1,1,2,3,7915.538,27097.994,40277.352,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2806.44,24208.422,42752.438, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,13221.927,22176.699,52419.422, 
62,2,3,4,1, ,3,3,2,5,3,5,1,1,3,4,1,3,3,3,1,5,1,1,3,1,1,1,1,3,5657.961,31646.932,50232.551,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,8090.364,31738.18,47466.734, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,7431.625,30599.553,46121.313, 
82,2,3,1,2,0,3,4,1,3,3,5,3,1,1,4,4,3,2,2,4,4,2,5,1,1,1,2,5,3,7846.615,30917.15,46058.168,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5472.642,29641.664,47764.953, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4744.548,30767.965,50040.102, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5538.213,31571.156,50253.031, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,8813.075,32634.035,48274.68, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,9675.349,33165.254,47733.453, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,9674.135,33203.027,47836.813, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,6211.049,29956.592,46922.414, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,7066.429,30642.086,46869.801, 
32,2,3,2,1,0,5, ,2,1, ,5,2,1,2,5,5,4,5,4,3,5,3,4,2,4,1,3,5,3,5018.706,29056.195,47150.027,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4212.75,28614.664,47897.859, 
80,2,3,1,2,0,3,4,2,2,2,4,2,1,2,2,2,2,1,2,2,4,5,5,3,3,1,1,2,3,9198.045,32796.363,47813.914,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,6787.28,30492.955,47066.59, 
59,1,3,1,2,0,3,5,2,2,4,4,3,2,4,5,2,4,3,4,4,4,2,2,2,3,1,1,3,3,8483.443,31868.371,46977.477,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,8667.822,32654.313,48549.438, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,9406.136,32964.035,47796.578, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,9408.378,32984.598,47847.012, 
37,1,3,1,4,2,4,5,2,1,4,4,2,1,2,4,2,4,2,2,2,2,4,3,3,2,2,2,4,3, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4443.883,29731.338,49223.773, 
52,2,3,3,1,0,3,3,2,1,1,4,3,1,3,3,4,2,2,2,3,3,2,4,5,4,4,3,4,3,5004.636,28853.725,46672.848,1
33,1,3,2,1,0,3,3,2,1,4,4,4,3,2,5,4,4,3,3,4,4,3,3,2,3,3,3,4,3,5182.117,29010.893,46697.129,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5410.961,28701.555,45681.059, 
56,2,3,1,2,0,2,5,2,1,1,5,5,1,1,5,5,3,1,1,1,2,2,4,2,2,2,1,4,3,10838.059,33827.422,46977.758,1
46,1,3,1,3,1,4,5,2,1,1,4,3,4,2,4,1,3,2,4,4,3,4,1,3,3,1,3,4,3,11015.19,34000.027,47036.098,2
21,2,3, ,2,0, , , , ,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5313.871,28674.611,45782.438,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4640.036,28207.369,45957.898, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,9913.691,30346.313,41902.688, 
50,1,1,1,4,0,3,5,2,1, ,3,3, , ,3, ,3, , , , ,3, , , , , , ,3,10763.016,33559.879,46508.871,1
69,2,3,4,1,0,3,3,2,1,2,2,1,1,2,3,3,2,1,1,2,2,3,3,2,2,1,1,1,3,10307.816,32241.238,44605.828,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,10371.162,32363.344,44730.918, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,6352.994,28688.451,44331.473, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,10765.265,33441.887,46238.598, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5192.979,28929.172,46494.063, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5642.504,29366.285,46641.219, 
80,2,3,4,1,0,2,1,1,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,1,1,1,1,1,3,5774.18,27935.217,43886.688,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,10522.746,32644.539,45017.984, 
78,1,3,4,1,0,3,3,2,2,5,3, , , ,5,4,4,4,3,2,3,3,2,4,4,1,4,3,3,6432.719,29544.994,45674.469,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3269.234,30930.154,51631.758, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3878.817,30977.824,51085.414, 
79,2,3,1,2,0,3,5,2,1, ,3,3,1,2,3,3,3,3,3,3,3,3,3,1,2,1,1,2,3,6758.311,34488.148,53026.875,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3830.048,31239.176,51495.035, 
28,1,3,1,2,0,4,5,2,1,4,5,1,2,4,5,5,1,4,3,5,5,2,1,1,3,1,1,3,3,7055.241,35516.004,54315.371,2
65,1,3,1,3,0,2, ,2,1,3,5,5,1,2,3,3,4,3,3,4, ,4,4,2,2,1,1,5,3,7050.2,35676.148,54569.508,1
50,2,3,1,2,0,4,5,2,1,4,5,5,1,2,5,5,5,4,3,5,5,5,5,4,5,2,2,5,3,6782.633,34402.156,52869.082,2
47,1,1,1,2, ,3,5,2,2,4,5,4,1,2,2,4,5,3,1,1,3,3,5,1,1,1,1,1,3,11984.388,32948.605,42051.527,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,21288.506,44653.68,53043.438, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,8213.79,35293.215,52629.766, 
65,1,3,1,2,0,2,3,2,1,5,4,2,1,2,5,5,4,5,4,5,4,3,2,5,5,4,5,5,3,14514.876,41391.609,55118.969,1
70,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , , ,3,15527.27,38967.004,49631.727, 
32,1,1,1,4,2,4,5,2,4,5,5,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,11887.888,32824.391,42002.281,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,15596.971,38684.25,49099.887, 
83,1,5,4,1,0,3,3,2,1,5,5,4, ,4,1,1,5,3,3,3,5,5,2,4, ,1,1,5,3,8828.423,36110.902,53199.07,1
78,1,3,1,2,0,2,3,2,1, ,5,5, , , ,5,5, , , ,5, ,5, ,5, , , ,4, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
70,2,1,4,1,0,1, ,2, , , , , , , , , , , , , , , , , , , , ,4, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
58,2,3,1,2,0,3,5,2,1,1,5,3,1,2,3,1,3,1,3,1,5,2,1,1,5,1,1,1,4, , , ,1
39,1,3,3,1,0,3,4,1,5, , , , , , , , , , , , , , , , , , , ,4, , , ,1
61,2,3,1,2,0,3,5,2,2,5,4,4,3,3,4,5,1,1,1,4,4,5,3,4,4,4,2,4,4, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
40,1,3,1,3,1,1,4,2,1,1,5,5,5,3,4,5,3,1,2,3,1,5,3,1,1,1,1,1,4, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
69,1,3,1,2,0,3,3,2,1,3,4,4,5,1,3,5,5,1,2,5,4,5, ,1,5,1,1,1,4, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
48,1,3,1,2,0,3,4,2,4, , , , , , , , , , , , , , , , , , , ,4, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
53,1,3,3,1,0,5,4,2,1,1,1,1,1,1,5,5,3,2,1,1,4,5,1,1,1,1,1,1,4, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
79,2,3,4,3,0,1, , ,5, , , , , , , , , , , , , , , , , , , ,4, , , ,1
48,1,3,1,3,1,4,3,2,4,2,3,3,3,2,3,4,4,2,2,3,3,4,2,2,2,2,2,2,4, , , ,1
49,2,3,4,4,0,3,2,2,1,3,4,4,4,4,4,3,3,3,4,4,3,4,3,4,4,4,4,3,4, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
77,2,3,3,5,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4, , , ,1
