Age,Gender,r_white,r_black,r_native,m_married,m_single,HouseholdSize,NumChd,Edu,Income,Owner,h_singlefam,h_mobile,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,DistCoast,DistRiver,DistLake,Evac
50.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0,2.0,2.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,44819.777,489.475,22780.98,1.0
47.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,5.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,4.0,4.0,49855.082,2245.752,23358.447,0.0
40.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,1.0,3.0,4.0,40654.672,420.781,19834.66,1.0
49.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,40670.523,430.2,19850.783,0.0
38.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,4.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,1.0,2.0,44609.512,1165.749,23805.074,1.0
38.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,43094.848,1603.618,21172.402,1.0
70.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,1.0,0.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,1.0,5.0,1.0,42593.883,1722.192,20840.451,1.0
57.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,5.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,47494.922,3812.421,26627.018,0.0
30.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,4.0,2.0,43757.809,919.995,22955.457,0.0
48.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,5.0,5.0,47063.73,1295.4,24384.635,0.0
48.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,5.0,1.0,1.0,0.0,5.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,48835.188,4780.929,27966.549,1.0
17.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,4.0,3.0,2.0,4.0,4.0,5.0,2.0,2.0,3.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,38072.91,2295.921,16396.139,0.0
34.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,5.0,5.0,1.0,1.0,2.0,44389.984,424.999,22695.723,0.0
88.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,2.0,4.0,5.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,44069.281,178.867,22972.59,1.0
48.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,5.0,43006.012,759.196,21715.539,1.0
91.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,2.0,3.0,2.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,5.0,44756.313,680.455,22596.629,1.0
84.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,1.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,43273.336,883.504,21766.984,1.0
43.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,5.0,5.0,5.0,3.0,1.0,5.0,2.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,48847.383,5057.998,27974.332,1.0
50.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,40688.953,10716.593,12868.191,0.0
26.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,45522.117,370.848,24500.219,1.0
72.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,4.0,1.0,5.0,2.0,1.0,5.0,4.0,3.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,41059.02,7754.563,14484.582,0.0
41.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,1.0,4.0,5.0,2.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,41368.59,8259.411,14354.077,1.0
30.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,49600.176,1661.688,27104.725,1.0
39.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,5.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,41234.691,7409.646,14783.296,0.0
27.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,4.0,1.0,0.0,1.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,44185.414,4170.642,18105.676,1.0
50.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,4.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0,4.0,44186.727,4169.727,18106.861,1.0
52.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,5.0,1.0,1.0,0.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,42630.719,8077.185,15294.99,1.0
45.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,41303.707,7382.766,14827.767,1.0
42.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,5.0,1.0,1.0,0.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,44422.352,8263.983,16695.016,0.0
50.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,5.0,1.0,1.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,5.0,46784.465,6740.28,19172.506,0.0
47.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,5.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1.0,53181.414,10938.195,18796.188,0.0
47.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,5.0,1.0,1.0,0.0,4.0,3.0,4.0,5.0,1.0,5.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,52009.09,13156.357,19785.355,1.0
35.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,46573.777,10046.511,15496.829,1.0
67.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,4.0,5.0,3.0,1.0,5.0,5.0,1.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,45171.277,8517.118,15537.319,0.0
55.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,1.0,1.0,0.0,5.0,2.0,3.0,2.0,3.0,5.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,1.0,2.0,44996.727,8359.326,14734.618,0.0
55.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,48666.586,12781.847,27294.996,1.0
75.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,47365.824,12139.798,26257.684,0.0
70.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,42501.656,5196.51,21953.361,1.0
38.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,4.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,1.0,3.0,1.0,1.0,3.0,42905.395,7801.106,18317.43,1.0
56.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,5.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,1.0,5.0,4.0,1.0,3.0,49882.461,12526.935,29064.648,0.0
33.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,2.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,3.0,5.0,3.0,4.0,5.0,3.0,1.0,5.0,1.0,5.0,1.0,51788.418,14730.145,29829.928,1.0
36.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,3.0,1.0,0.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,1.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,52147.531,11968.799,31684.154,1.0
44.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,4.0,1.0,0.0,0.0,5.0,3.0,5.0,5.0,3.0,5.0,2.0,1.0,5.0,5.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,48581.27,12111.138,27724.666,1.0
47.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,4.0,1.0,1.0,0.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,41074.609,4449.696,15889.717,0.0
56.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,2.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,53656.586,10748.501,32830.84,1.0
67.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,1.0,2.0,42694.539,6094.191,17425.863,1.0
75.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,1.0,1.0,0.0,3.0,3.0,4.0,5.0,1.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,51501.926,15797.092,28581.133,1.0
45.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,3.0,4.0,3.0,1.0,5.0,5.0,1.0,3.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,42546.066,11864.861,21426.689,1.0
52.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,1.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,5.0,1.0,2.0,4.0,45018.563,6397.115,24511.346,1.0
38.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,1.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,2.0,49964.105,12527.147,29174.857,0.0
22.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,4.0,1.0,0.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,5.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,59115.93,10382.017,34118.637,0.0
39.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,5.0,1.0,0.0,1.0,4.0,4.0,2.0,2.0,1.0,5.0,5.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,56408.832,8253.266,31966.826,1.0
51.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0,52429.891,6628.267,29397.939,0.0
37.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0,1.0,1.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,3518.17,1531.899,3518.17,1.0
31.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,5.0,1.0,0.0,0.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,2.0,1.0,2272.281,693.301,2272.281,1.0
29.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,1.0,0.0,1.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,1.0,5.0,4.0,4.0,5.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,40409.617,284.991,13456.589,1.0
22.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,2.0,1.0,0.0,1.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,2.0,3.0,5.0,5.0,3.0,4.0,1.0,1.0,4.0,131.509,131.509,131.509,1.0
30.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,5.0,1.0,1.0,0.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,3.0,4.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1096.269,837.862,1096.269,1.0
65.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,5.0,4.0,1.0,0.0,0.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,2.0,4.0,4.0,4.0,3050.692,1524.896,3050.692,1.0
44.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,4.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,557.455,557.455,557.455,1.0
78.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,154.484,154.484,154.484,1.0
46.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,4.0,1.0,1.0,0.0,5.0,1.0,1.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,158.499,158.499,158.499,1.0
37.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,5.0,1.0,1.0,0.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,2799.874,718.687,2799.874,1.0
35.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,2.0,2601.678,637.409,2601.678,1.0
35.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,1.0,1.0,0.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,2.0,2666.423,671.661,2666.423,1.0
37.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,2631.111,648.258,2631.111,1.0
