age,gender,edu,income,househd_size,r_white,r_black,r_asian,r_hispanic,r_native,has_children,has_elders,has_special_needs,has_pets,hs_single_fam,hs_condo,hs_mobile,hm_wood,hm_brick,owner,insurance,coast_dist,risk_stay,risk_evac,wind_safety,wind_property,flood_safety,flood_property,evac_decision
31,1,2,4,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,4,2,3,2,2,5,5,0
28,1,3,3,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,5,2,4,2,3,3,0
30,0,3,1,3,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,2,5,5,5,5,5,5,1
44,1,1,3,7,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,3,3,3,4,4,4,4,0
26,0,3,2,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,3,2,3,3,5,4,0
31,1,3,3,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,5,2,1,1,5,5,0
32,0,3,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,4,3,3,3,3,5,5,0
31,0,3,3,3,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,3,5,3,4,4,5,5,0
27,0,4,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,5,2,1,3,3,3,2,0
24,1,2,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2,3,4,4,3,4,3,0
40,0,1,3,3,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,5,4,3,4,4,5,5,0
22,0,2,2,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,4,4,3,4,4,4,4,0
32,1,2,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,3,2,4,4,3,3,0
31,0,2,2,3,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,4,3,2,3,4,4,5,0
25,1,3,4,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,5,2,3,3,3,2,2,0
25,0,3,4,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,5,2,2,1,2,2,2,0
33,1,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,5,3,5,5,5,5,1
27,1,3,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,5,4,5,4,4,5,1
26,0,3,2,4,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,3,4,3,4,4,5,5,1
38,0,1,4,6,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,3,5,2,5,5,5,5,1
28,0,3,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,4,2,3,4,2,3,0
38,1,4,4,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,5,3,3,3,3,3,3,0
28,0,2,2,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,4,4,2,3,3,4,3,0
40,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,1,3,1,2,1,3,0
23,0,1,4,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,3,4,2,3,3,4,3,0
43,1,3,4,2,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,5,2,5,2,2,3,3,0
49,1,3,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,5,5,1,1,5,5,1
55,1,1,4,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,4,2,1,2,2,1,1,0
33,1,3,2,5,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,3,2,5,5,5,2,2,1
33,0,3,4,6,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,5,3,4,3,3,3,3,1
30,1,3,2,3,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,4,3,4,2,2,2,0
29,1,4,2,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,3,3,4,3,3,4,4,0
25,1,2,1,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,2,4,3,1,4,5,0
29,1,2,1,5,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,3,4,4,3,3,2,2,1
24,1,3,3,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,3,1,5,1,1,4,5,0
25,1,2,2,5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,4,2,4,2,2,2,2,0
44,1,1,3,7,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,3,4,4,4,4,4,4,0
33,1,2,3,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2,3,2,3,4,3,3,0
39,0,1,1,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,4,3,4,4,4,4,0
36,0,2,3,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,5,5,2,2,4,5,5,1
38,1,2,3,3,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,5,4,1,5,5,5,5,0
32,1,3,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,4,3,4,4,5,5,1
26,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,3,3,4,4,4,0
27,0,4,4,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,5,3,2,3,4,3,4,0
31,0,2,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,4,2,2,2,4,4,0
34,0,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,4,1,5,2,5,2,0
38,1,4,3,5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,5,2,2,3,3,3,3,0
39,1,2,0,5,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,5,5,5,1,5,1,1
46,0,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,4,2,3,4,4,2,1,0
22,0,2,2,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,1,2,1,1,3,3,0
23,0,3,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,3,3,5,4,5,5,5,0
34,1,4,3,3,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,3,4,4,4,3,3,1
25,0,3,4,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,5,2,3,3,3,3,3,0
34,1,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,3,2,1,2,2,1,1,0
34,0,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2,1,2,2,2,2,0
27,1,3,1,2,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,3,3,3,5,5,5,5,0
32,1,2,1,4,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,3,1,3,1,1,2,1,0
40,0,4,3,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,4,4,4,3,3,5,5,0
31,0,2,3,2,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,5,5,3,5,5,5,5,0
67,1,4,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,4,1,3,1,1,2,3,0
25,1,2,1,4,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,2,5,2,5,5,5,5,1
35,1,3,4,5,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,3,3,3,3,4,3,4,0
57,1,2,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,1,1,1,1,1,1,0
35,1,2,0,4,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,4,5,5,5,2,2,0
41,0,2,0,4,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,2,5,1,2,2,2,0
33,1,2,2,4,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,4,4,2,5,5,3,3,1
44,0,3,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,2,4,4,4,4,4,1
31,0,2,2,3,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,4,3,2,3,3,4,5,0
52,1,4,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,1,2,2,1,1,0
39,1,3,3,3,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,2,2,4,2,4,3,5,0
41,0,2,2,3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,4,3,5,5,5,5,1
35,0,4,4,4,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,5,5,5,5,5,5,1
24,0,2,2,4,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,5,3,1,3,3,3,3,0
28,1,2,3,4,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,5,4,3,5,5,5,5,0
37,0,2,2,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,5,3,2,4,2,4,3,0
32,1,4,4,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,5,4,4,4,3,4,4,0
54,0,3,2,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,5,2,2,2,2,2,2,0
25,1,3,3,4,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,5,3,4,1,1,4,4,0
27,1,1,2,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,1,1,1,1,1,1,0
28,1,3,4,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,5,4,3,4,4,5,1
33,0,4,4,3,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,2,4,5,4,4,5,5,0
38,1,2,0,3,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,5,5,4,5,5,5,4,0
46,0,2,2,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,5,4,4,4,4,4,0
41,1,4,4,4,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,3,4,5,4,4,4,4,0
23,1,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,4,3,3,4,3,0
34,1,2,2,3,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,5,3,2,3,4,4,4,0
40,0,3,1,3,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,2,4,3,4,4,2,2,0
28,0,2,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,4,4,4,4,4,4,4,0
31,0,3,2,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,3,5,2,4,5,4,5,0
34,1,3,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,5,3,2,2,3,5,5,0
42,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5,1,4,1,1,1,1,0
37,1,3,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,3,5,3,5,5,5,5,1
44,1,3,3,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,4,4,3,4,4,4,1
41,1,2,3,4,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,5,4,2,4,4,1,1,0
41,1,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,4,4,5,4,5,4,0
33,1,4,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,3,3,3,3,3,3,0
30,0,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,5,5,5,5,5,5,0
54,1,4,4,4,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,2,4,4,3,3,5,4,0
39,0,3,3,5,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,4,5,4,3,4,3,0
43,1,3,4,4,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,4,5,5,5,5,5,5,0
55,1,1,4,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,4,1,1,3,3,1,1,0
30,0,2,2,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,3,2,2,2,2,3,3,0
33,0,3,3,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,3,3,3,4,4,4,4,1
52,1,2,4,3,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,3,4,4,2,2,5,5,0
48,1,3,2,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,5,5,5,2,2,5,5,0
30,1,3,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,5,5,4,5,4,4,4,0
34,1,3,2,5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,5,2,2,3,4,4,4,0
35,1,2,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,4,2,1,2,2,1,1,0
32,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,3,1,1,1,4,4,0
20,1,2,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,3,4,3,4,3,4,4,1
37,1,1,3,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,3,4,4,3,4,4,4,0
28,0,3,3,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,3,2,4,5,5,5,5,1
50,1,2,2,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,5,3,3,5,4,3,3,0
24,1,2,4,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,3,5,5,5,5,5,5,0
24,0,2,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,3,2,2,3,4,5,3,0
36,0,2,1,4,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,4,5,4,5,5,5,5,0
24,1,3,3,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,2,4,2,4,4,4,4,0
31,1,3,4,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,5,2,3,3,5,5,0
28,0,3,4,5,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,3,4,3,3,4,3,4,0
35,0,2,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,5,3,5,5,5,5,0
50,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,5,3,2,5,2,4,1
46,0,3,2,3,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,3,5,2,3,2,3,2,1
36,1,3,2,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,5,5,4,4,3,3,4,1
24,1,4,3,4,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,3,3,4,4,4,5,5,1
40,0,2,2,4,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,5,5,5,4,4,4,4,1
30,1,3,2,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,3,2,2,2,3,3,0
24,1,0,2,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,5,5,2,5,5,2,1,0
19,0,2,2,6,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,5,3,3,4,4,4,4,1
34,1,2,3,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,4,4,2,2,4,4,0
28,1,2,3,5,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,2,5,2,5,5,3,3,0
55,1,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,2,2,2,2,2,2,0
49,1,3,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,5,1,1,1,5,5,1
32,0,4,4,5,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,5,4,3,3,3,4,4,1
32,1,2,4,5,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,3,2,3,3,3,3,0
37,0,3,4,4,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,4,4,4,4,4,4,0
38,0,4,4,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,4,2,3,3,4,5,0
25,0,2,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,5,1,5,4,1,1,1
35,1,1,3,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,5,4,2,4,4,4,4,0
30,1,3,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,3,2,1,2,2,2,2,1
32,1,2,2,3,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,5,2,2,2,3,3,3,0
37,0,2,1,6,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,2,3,3,3,3,0
61,0,4,3,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,3,3,3,4,2,2,0
35,0,3,4,4,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,4,5,2,3,4,5,5,0
41,0,4,4,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,2,2,4,2,3,4,5,0
26,0,3,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,2,1,1,1,2,4,1
21,0,2,2,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,4,3,5,5,4,5,1
32,0,3,2,5,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,4,4,4,4,4,4,4,1
39,1,2,4,5,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,3,2,1,2,2,3,3,0
32,0,3,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,3,1,2,2,2,2,0
22,0,3,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,5,4,2,1,1,1,1,0
35,1,1,1,5,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,3,5,5,5,5,5,5,0
38,1,3,4,4,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,3,2,1,1,1,1,2,0
58,1,3,4,5,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,3,1,5,2,2,2,2,0
21,1,2,1,3,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,3,2,4,4,4,4,0
29,0,2,2,3,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,3,3,3,4,4,1,1,0
31,1,3,3,4,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,2,5,3,5,5,5,5,1
31,0,3,2,4,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,2,2,4,2,2,1,2,0
40,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,2,3,2,2,2,4,0
21,1,3,1,3,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,4,2,1,3,3,3,3,0
45,1,2,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,2,3,2,2,3,4,0
