info_tv,info_tv_damage,info_tv_casualty,info_tv_road,info_tv_prep,info_tv_stay,info_tv_leave,info_social,info_social_damage,info_social_storm,info_social_prep,info_social_stay,info_social_leave,info_social_road,friends_suggest,neighbors_doing,evac_decision
1,5.0,2.0,4.0,3.0,4.0,1.0,1,5.0,5.0,1.0,4.0,1.0,4.0,1,1.0,0
1,3.0,3.0,5.0,5.0,5.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,4.0,2.0,3.0,5.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,3.0,3.0,4.0,4.0,3.0,3.0,1,3.0,3.0,3.0,3.0,3.0,3.0,1,1.0,0
1,2.0,1.0,5.0,5.0,4.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1
1,3.0,2.0,4.0,4.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1
1,3.0,3.0,3.0,1.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1,4.0,4.0,5.0,3.0,4.0,4.0,1,4.0,4.0,3.0,4.0,4.0,5.0,2,2.0,1
1,2.0,1.0,3.0,5.0,3.0,5.0,1,4.0,5.0,5.0,2.0,5.0,5.0,2,0.0,0
1,4.0,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,2,1.0,0
1,3.0,2.0,2.0,2.0,3.0,3.0,1,4.0,3.0,2.0,2.0,3.0,3.0,2,2.0,1
1,5.0,5.0,5.0,5.0,5.0,3.0,1,5.0,5.0,5.0,4.0,4.0,5.0,1,1.0,0
1,5.0,5.0,5.0,5.0,4.0,3.0,1,5.0,5.0,3.0,3.0,3.0,4.0,3,1.0,0
1,1.0,2.0,2.0,2.0,4.0,4.0,1,1.0,5.0,2.0,4.0,2.0,2.0,1,1.0,0
1,4.0,4.0,5.0,3.0,3.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1
1,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,2,1.0,0
1,5.0,4.0,4.0,5.0,3.0,4.0,1,5.0,5.0,5.0,4.0,5.0,5.0,2,1.0,0
1,4.0,2.0,4.0,4.0,4.0,4.0,1,5.0,5.0,5.0,5.0,5.0,5.0,2,1.0,0
1,2.0,2.0,4.0,4.0,2.0,3.0,1,2.0,2.0,3.0,2.0,2.0,3.0,1,2.0,0
1,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,4.0,5.0,2.0,5.0,1,1.0,1
1,3.0,1.0,2.0,2.0,3.0,3.0,1,3.0,3.0,2.0,2.0,2.0,3.0,3,0.0,0
1,3.0,4.0,4.0,4.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1
1,5.0,4.0,5.0,3.0,3.0,3.0,1,5.0,5.0,2.0,2.0,3.0,5.0,1,1.0,0
1,3.0,3.0,4.0,3.0,3.0,3.0,1,4.0,4.0,3.0,3.0,3.0,4.0,3,1.0,0
1,4.0,4.0,3.0,3.0,2.0,4.0,1,2.0,2.0,3.0,3.0,2.0,2.0,1,1.0,0
1,5.0,3.0,5.0,5.0,2.0,3.0,1,5.0,5.0,3.0,1.0,3.0,5.0,2,1.0,1
1,4.0,2.0,3.0,5.0,5.0,5.0,1,5.0,5.0,2.0,4.0,4.0,5.0,2,1.0,0
1,4.0,3.0,5.0,4.0,4.0,4.0,1,5.0,5.0,5.0,3.0,4.0,5.0,2,1.0,0
1,2.0,2.0,4.0,5.0,5.0,5.0,1,2.0,4.0,5.0,5.0,5.0,5.0,1,1.0,0
1,5.0,5.0,4.0,5.0,3.0,3.0,1,5.0,5.0,4.0,4.0,4.0,4.0,1,1.0,0
1,4.0,3.0,4.0,5.0,5.0,5.0,1,4.0,3.0,4.0,4.0,4.0,4.0,3,1.0,0
1,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,2,2.0,0
1,5.0,5.0,5.0,1.0,4.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,2.0,2.0,4.0,2.0,2.0,4.0,1,3.0,3.0,2.0,3.0,3.0,2.0,2,1.0,0
1,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,2,1.0,1
1,5.0,4.0,3.0,2.0,3.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,4.0,4.0,3.0,2.0,2.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1
1,5.0,5.0,5.0,4.0,5.0,5.0,1,5.0,5.0,4.0,3.0,4.0,4.0,2,2.0,1
1,2.0,1.0,4.0,5.0,2.0,3.0,1,3.0,3.0,2.0,2.0,3.0,4.0,1,1.0,0
1,3.0,2.0,4.0,4.0,2.0,4.0,1,4.0,4.0,3.0,2.0,4.0,4.0,2,2.0,1
1,2.0,2.0,3.0,4.0,4.0,4.0,1,4.0,5.0,2.0,4.0,4.0,5.0,2,1.0,0
1,3.0,4.0,4.0,5.0,3.0,3.0,1,2.0,4.0,4.0,3.0,3.0,4.0,2,1.0,0
1,4.0,4.0,5.0,4.0,3.0,4.0,1,5.0,5.0,4.0,3.0,4.0,5.0,2,2.0,1
1,4.0,2.0,3.0,3.0,2.0,2.0,1,4.0,1.0,3.0,3.0,2.0,3.0,3,1.0,0
1,3.0,2.0,2.0,2.0,4.0,2.0,1,2.0,3.0,2.0,2.0,3.0,3.0,3,0.0,0
1,5.0,2.0,5.0,3.0,4.0,4.0,1,5.0,2.0,5.0,5.0,3.0,5.0,1,1.0,0
1,4.0,3.0,5.0,3.0,3.0,4.0,1,5.0,5.0,3.0,4.0,5.0,5.0,1,1.0,0
1,4.0,2.0,2.0,4.0,3.0,3.0,1,2.0,3.0,4.0,3.0,4.0,4.0,1,1.0,0
1,4.0,3.0,3.0,4.0,4.0,4.0,1,4.0,3.0,3.0,4.0,4.0,3.0,1,1.0,0
1,4.0,2.0,4.0,4.0,3.0,5.0,1,2.0,3.0,4.0,3.0,5.0,5.0,2,2.0,1
1,4.0,2.0,4.0,2.0,4.0,2.0,1,5.0,4.0,3.0,4.0,2.0,3.0,3,1.0,0
1,3.0,4.0,4.0,4.0,4.0,4.0,1,3.0,4.0,3.0,3.0,3.0,4.0,1,1.0,0
1,3.0,2.0,4.0,2.0,4.0,3.0,1,4.0,4.0,3.0,2.0,3.0,4.0,1,1.0,0
1,5.0,2.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,3.0,5.0,2,0.0,0
1,2.0,1.0,1.0,2.0,2.0,4.0,1,1.0,1.0,3.0,3.0,3.0,1.0,1,2.0,1
1,1.0,1.0,1.0,1.0,4.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1,4.0,3.0,4.0,4.0,3.0,3.0,1,4.0,4.0,3.0,3.0,4.0,4.0,2,2.0,1
1,4.0,2.0,4.0,4.0,4.0,4.0,1,3.0,3.0,4.0,3.0,4.0,4.0,2,2.0,0
1,5.0,5.0,5.0,5.0,5.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0
1,3.0,3.0,3.0,3.0,3.0,3.0,1,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,0
1,5.0,3.0,4.0,3.0,5.0,2.0,1,5.0,5.0,4.0,5.0,2.0,4.0,2,1.0,0
1,3.0,1.0,5.0,4.0,4.0,3.0,1,3.0,3.0,4.0,4.0,3.0,5.0,1,1.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.0,4.0,4.0,4.0,3.0,1,1.0,0
1,5.0,4.0,3.0,5.0,5.0,3.0,1,5.0,5.0,5.0,5.0,5.0,4.0,1,1.0,0
1,4.0,3.0,3.0,4.0,2.0,4.0,1,5.0,5.0,5.0,1.0,5.0,4.0,2,2.0,1
1,5.0,5.0,5.0,5.0,5.0,5.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0
1,3.0,2.0,5.0,2.0,2.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0
1,5.0,5.0,5.0,5.0,3.0,4.0,1,4.0,4.0,4.0,3.0,4.0,5.0,3,1.0,0
1,1.0,4.0,3.0,3.0,2.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
1,3.0,3.0,4.0,4.0,2.0,3.0,1,3.0,2.0,2.0,2.0,2.0,2.0,2,2.0,1
1,5.0,5.0,5.0,5.0,3.0,3.0,1,5.0,5.0,5.0,4.0,4.0,5.0,2,0.0,0
1,2.0,2.0,4.0,5.0,3.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1
1,5.0,5.0,5.0,5.0,5.0,5.0,1,4.0,4.0,2.0,3.0,3.0,4.0,2,1.0,1
1,4.0,5.0,3.0,5.0,2.0,4.0,1,4.0,2.0,4.0,3.0,4.0,3.0,1,1.0,0
1,2.0,1.0,3.0,2.0,3.0,3.0,1,1.0,3.0,3.0,3.0,3.0,2.0,1,1.0,0
1,5.0,4.0,5.0,4.0,4.0,4.0,1,5.0,3.0,4.0,3.0,4.0,5.0,2,1.0,0
1,5.0,2.0,5.0,4.0,3.0,4.0,1,5.0,5.0,5.0,3.0,4.0,5.0,2,2.0,1
1,5.0,5.0,5.0,5.0,4.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1
1,3.0,3.0,3.0,3.0,2.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1
1,3.0,3.0,3.0,5.0,4.0,3.0,1,2.0,2.0,4.0,3.0,3.0,3.0,1,1.0,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,4.0,4.0,3.0,3.0,4.0,2,1.0,0
1,5.0,5.0,5.0,5.0,5.0,5.0,1,4.0,4.0,4.0,4.0,4.0,4.0,1,1.0,0
1,3.0,2.0,5.0,2.0,3.0,2.0,1,5.0,2.0,2.0,2.0,2.0,4.0,1,1.0,0
1,3.0,1.0,2.0,2.0,2.0,4.0,1,2.0,2.0,2.0,2.0,3.0,3.0,1,1.0,0
1,4.0,4.0,3.0,5.0,4.0,5.0,1,5.0,5.0,3.0,3.0,4.0,4.0,1,1.0,0
1,5.0,3.0,5.0,5.0,5.0,3.0,1,5.0,5.0,5.0,5.0,3.0,5.0,1,1.0,0
1,5.0,1.0,5.0,5.0,2.0,4.0,1,4.0,4.0,5.0,5.0,4.0,4.0,2,1.0,0
1,3.0,2.0,4.0,5.0,3.0,3.0,1,4.0,4.0,4.0,5.0,2.0,3.0,1,1.0,0
1,4.0,3.0,5.0,1.0,1.0,3.0,1,4.0,5.0,1.0,1.0,2.0,5.0,1,1.0,0
1,2.0,1.0,3.0,5.0,3.0,2.0,1,3.0,2.0,4.0,3.0,2.0,3.0,2,1.0,0
0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,4.0,5.0,2.0,4.0,5.0,2,2.0,1
1,4.0,3.0,1.0,4.0,3.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,3.0,1.0,4.0,5.0,4.0,4.0,1,4.0,4.0,5.0,3.0,4.0,5.0,1,1.0,0
1,2.0,1.0,3.0,4.0,4.0,2.0,1,2.0,4.0,2.0,1.0,1.0,4.0,2,1.0,1
1,5.0,5.0,3.0,3.0,1.0,1.0,1,5.0,5.0,4.0,3.0,3.0,5.0,2,2.0,1
1,5.0,5.0,5.0,5.0,2.0,5.0,1,3.0,4.0,2.0,2.0,2.0,3.0,1,1.0,0
1,4.0,1.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,4.0,5.0,5.0,2,2.0,1
1,4.0,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,2,2.0,1
1,2.0,2.0,3.0,4.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,5.0,1.0,4.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,2,2.0,0
1,3.0,2.0,4.0,3.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1,4.0,2.0,4.0,5.0,5.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,5.0,2.0,5.0,3.0,2.0,2.0,1,5.0,5.0,3.0,2.0,2.0,2.0,3,0.0,0
1,4.0,4.0,4.0,4.0,3.0,3.0,1,4.0,4.0,3.0,3.0,4.0,4.0,2,0.0,0
1,4.0,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,1,1.0,0
1,4.0,3.0,4.0,5.0,3.0,3.0,1,3.0,4.0,3.0,3.0,2.0,4.0,1,1.0,0
1,1.0,1.0,1.0,4.0,1.0,4.0,1,4.0,4.0,4.0,2.0,5.0,2.0,2,2.0,1
1,5.0,3.0,4.0,4.0,4.0,4.0,1,5.0,5.0,5.0,5.0,5.0,5.0,1,1.0,0
1,4.0,1.0,4.0,4.0,3.0,3.0,1,4.0,4.0,4.0,4.0,4.0,4.0,2,2.0,0
1,5.0,3.0,4.0,5.0,4.0,3.0,1,5.0,4.0,4.0,4.0,3.0,3.0,1,1.0,0
1,1.0,1.0,3.0,5.0,4.0,3.0,1,4.0,4.0,4.0,4.0,3.0,5.0,3,1.0,0
1,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,1,1.0,0
1,1.0,1.0,1.0,1.0,1.0,1.0,1,4.0,4.0,4.0,4.0,4.0,4.0,2,2.0,0
1,3.0,2.0,2.0,4.0,4.0,3.0,1,3.0,3.0,3.0,3.0,2.0,2.0,1,1.0,0
1,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,2,1.0,0
1,4.0,5.0,2.0,4.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,3.0,3,1.0,1
1,5.0,5.0,5.0,2.0,5.0,5.0,1,5.0,5.0,4.0,5.0,2.0,5.0,1,1.0,0
1,2.0,1.0,3.0,2.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,3.0,5.0,5.0,2.0,3.0,5.0,1,4.0,4.0,2.0,3.0,5.0,5.0,3,2.0,0
1,5.0,4.0,4.0,3.0,4.0,4.0,1,5.0,4.0,2.0,2.0,3.0,4.0,2,1.0,0
1,3.0,3.0,3.0,3.0,3.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,2.0,1.0,2.0,1.0,2.0,1.0,1,1.0,3.0,1.0,1.0,1.0,1.0,3,1.0,0
1,3.0,2.0,4.0,4.0,4.0,3.0,1,4.0,2.0,4.0,3.0,4.0,3.0,2,2.0,1
1,2.0,2.0,2.0,2.0,2.0,2.0,1,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,0
1,4.0,4.0,3.0,3.0,4.0,4.0,1,3.0,3.0,4.0,3.0,3.0,4.0,2,2.0,1
1,3.0,3.0,3.0,4.0,3.0,4.0,1,3.0,4.0,4.0,3.0,3.0,3.0,1,1.0,0
1,4.0,3.0,3.0,3.0,3.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,4.0,1.0,4.0,3.0,3.0,3.0,1,3.0,3.0,1.0,2.0,4.0,4.0,3,1.0,0
1,4.0,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,3.0,5.0,4.0,1,1.0,1
1,4.0,4.0,4.0,4.0,3.0,4.0,1,4.0,4.0,4.0,4.0,3.0,3.0,2,2.0,0
1,4.0,3.0,4.0,4.0,4.0,4.0,1,4.0,5.0,3.0,3.0,3.0,4.0,3,0.0,0
1,5.0,5.0,5.0,1.0,2.0,2.0,1,4.0,4.0,2.0,2.0,2.0,4.0,1,1.0,0
1,3.0,1.0,3.0,3.0,1.0,3.0,1,3.0,3.0,3.0,3.0,3.0,3.0,3,0.0,0
1,4.0,3.0,4.0,3.0,3.0,4.0,1,4.0,5.0,4.0,3.0,4.0,4.0,1,1.0,0
1,4.0,2.0,3.0,2.0,4.0,2.0,1,3.0,3.0,2.0,4.0,2.0,3.0,1,1.0,0
1,5.0,1.0,4.0,5.0,5.0,5.0,1,3.0,3.0,3.0,4.0,4.0,2.0,2,1.0,0
1,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,1,1.0,0
1,5.0,3.0,4.0,5.0,4.0,3.0,1,2.0,3.0,2.0,2.0,2.0,2.0,2,1.0,0
1,4.0,3.0,4.0,4.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,4.0,1.0,4.0,5.0,2.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1,4.0,5.0,4.0,5.0,4.0,5.0,1,4.0,4.0,4.0,4.0,4.0,4.0,2,2.0,1
1,4.0,4.0,3.0,2.0,3.0,3.0,1,3.0,4.0,2.0,2.0,2.0,3.0,1,0.0,1
1,3.0,3.0,4.0,4.0,4.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,5.0,4.0,3.0,2.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1
1,5.0,2.0,4.0,4.0,3.0,3.0,1,4.0,4.0,2.0,2.0,2.0,2.0,1,0.0,0
1,2.0,2.0,3.0,5.0,5.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1
1,3.0,2.0,4.0,4.0,4.0,5.0,1,5.0,5.0,3.0,4.0,5.0,5.0,2,2.0,1
0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,3.0,4.0,3.0,3.0,4.0,2,1.0,0
1,5.0,4.0,5.0,5.0,3.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,5.0,2.0,5.0,5.0,5.0,5.0,1,2.0,5.0,5.0,5.0,5.0,5.0,2,2.0,1
1,3.0,2.0,4.0,3.0,3.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
1,2.0,1.0,4.0,5.0,4.0,2.0,1,3.0,3.0,2.0,5.0,2.0,4.0,1,1.0,0
1,4.0,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,2,2.0,0
1,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,1,1.0,0
1,5.0,5.0,5.0,4.0,4.0,4.0,1,4.0,5.0,3.0,3.0,3.0,4.0,2,2.0,1
1,3.0,2.0,3.0,4.0,3.0,2.0,1,2.0,3.0,4.0,3.0,3.0,2.0,2,2.0,1
1,2.0,3.0,5.0,4.0,2.0,4.0,1,4.0,4.0,4.0,4.0,4.0,5.0,2,2.0,1
1,1.0,1.0,3.0,4.0,4.0,2.0,1,1.0,5.0,5.0,5.0,2.0,5.0,1,1.0,0
1,3.0,2.0,5.0,4.0,5.0,3.0,1,4.0,5.0,5.0,5.0,2.0,3.0,1,1.0,0
1,5.0,4.0,3.0,5.0,4.0,3.0,1,5.0,5.0,5.0,5.0,5.0,5.0,2,2.0,1
1,2.0,2.0,3.0,4.0,5.0,2.0,1,5.0,5.0,5.0,4.0,4.0,5.0,1,1.0,0
1,2.0,2.0,3.0,4.0,4.0,4.0,1,2.0,2.0,3.0,4.0,4.0,5.0,2,1.0,0
1,5.0,5.0,3.0,5.0,5.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,1,1.0,1
1,2.0,3.0,2.0,1.0,2.0,2.0,1,2.0,4.0,4.0,4.0,2.0,2.0,1,1.0,0
